gisco_id,name,registered,turnout,invalid,blank,EXG,FG,PRG,LÉ,ECO,LR,DVD,RN,PS,PRV,DVG,MoDem,EXD,NC (2007),AC,DIV,REG
FR_76230,Elbeuf-sur-Andelle,307,178,1,0,4,18,2,53,0,44,1,52,0,0,0,3,0,0,0,0,0
FR_76231,Elbeuf,9467,4504,76,0,91,315,0,109,0,0,0,823,2467,0,0,0,0,623,0,0,0
FR_76232,Életot,461,271,2,0,2,22,0,9,0,73,0,38,119,0,0,6,0,0,0,0,0
FR_76233,Ellecourt,136,89,0,0,0,7,0,2,0,40,0,11,28,0,0,1,0,0,0,0,0
FR_76234,Émanville,456,296,6,0,4,7,0,9,0,55,4,65,143,0,1,0,0,2,0,0,0
FR_76235,Envermeu,1470,833,13,0,6,91,0,8,0,291,7,127,277,0,0,13,0,0,0,0,0
FR_76236,Envronville,270,174,4,0,3,10,0,13,0,48,0,23,73,0,0,0,0,0,0,0,0
FR_76237,Épinay-sur-Duclair,369,202,4,0,3,5,0,5,0,49,3,38,91,0,0,0,0,4,0,0,0
FR_76238,Épouville,2350,1369,18,0,15,119,0,26,0,405,0,212,539,0,31,0,0,0,0,4,0
FR_76239,Épretot,541,324,5,0,3,18,0,8,0,92,0,63,132,0,0,3,0,0,0,0,0
FR_76240,Épreville,737,433,2,0,4,23,0,8,0,208,0,66,118,0,0,4,0,0,0,0,0
FR_76241,Ermenouville,128,97,0,0,0,2,0,1,0,35,0,5,54,0,0,0,0,0,0,0,0
FR_76242,Ernemont-la-Villette,178,103,1,0,0,8,0,36,0,32,0,26,0,0,0,0,0,0,0,0,0
FR_76243,Ernemont-sur-Buchy,185,126,7,0,2,4,1,32,0,53,0,25,0,0,0,2,0,0,0,0,0
FR_76244,Esclavelles,292,187,6,0,1,6,0,1,0,75,1,37,55,0,0,5,0,0,0,0,0
FR_76245,Eslettes,1077,690,12,0,8,68,0,15,0,197,0,110,280,0,0,0,0,0,0,0,0
FR_76247,Esteville,379,223,2,0,1,11,0,1,0,103,0,51,54,0,0,0,0,0,0,0,0
FR_76248,Estouteville-Écalles,330,209,1,0,6,15,4,57,0,86,2,28,0,0,0,10,0,0,0,0,0
FR_76249,Étaimpuis,554,370,8,0,4,13,0,5,0,145,0,65,130,0,0,0,0,0,0,0,0
FR_76250,Étainhus,788,492,8,0,5,22,0,19,0,140,0,89,199,0,0,10,0,0,0,0,0
FR_76251,Étalleville,325,200,4,0,4,6,0,3,0,91,0,21,71,0,0,0,0,0,0,0,0
FR_76252,Étalondes,834,525,8,0,3,91,0,5,0,161,7,64,173,0,0,13,0,0,0,0,0
FR_76253,Étoutteville,532,348,3,0,8,23,0,8,0,137,0,33,136,0,0,0,0,0,0,0,0
FR_76254,Étretat,1329,824,10,0,7,42,0,35,0,392,0,83,247,0,0,8,0,0,0,0,0
FR_76255,Eu,5931,3459,53,0,46,449,0,63,0,1094,18,486,1189,0,0,61,0,0,0,0,0
FR_76257,Fallencourt,116,76,3,0,1,2,0,5,0,23,0,8,34,0,0,0,0,0,0,0,0
FR_76258,Fauville-en-Caux,1525,963,15,0,13,60,0,10,0,336,0,105,411,0,0,13,0,0,0,0,0
FR_76259,Fécamp,14395,7731,103,0,88,487,0,276,0,2008,0,778,3888,0,0,103,0,0,0,0,0
FR_76260,Ferrières-en-Bray,1327,730,10,0,20,16,10,242,0,246,8,165,0,0,0,13,0,0,0,0,0
FR_76261,La Ferté-Saint-Samson,341,219,5,0,2,8,0,4,0,91,0,56,47,0,0,6,0,0,0,0,0
FR_76262,Fesques,99,77,0,0,0,2,0,1,0,46,2,7,18,0,0,1,0,0,0,0,0
FR_76263,La Feuillie,911,565,13,0,6,18,0,177,0,231,3,102,0,0,0,15,0,0,0,0,0
FR_76264,Flamanville,329,215,2,0,3,8,0,4,0,105,0,11,82,0,0,0,0,0,0,0,0
