gisco_id,name,registered,turnout,invalid,blank,ENS,RN,NFP,UXD,LR,DVD,DVG,HOR,DVC,REG,UDI,EXD,DIV,ECO,DSV,LFI,PS
FR_49211,Montilliers,975,677,7,15,424,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49214,Montreuil-Juigné,6152,4477,28,89,1730,1163,1467,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49215,Montreuil-Bellay,2902,1888,23,54,954,857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49216,Montreuil-sur-Loir,430,343,3,8,159,97,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49217,Montreuil-sur-Maine,619,453,2,7,152,148,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49218,Montrevault,12092,8105,153,381,4372,3199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49219,Montsoreau,334,261,5,17,155,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49220,Morannes sur Sarthe-Daumeray,2647,1811,23,63,32,841,34,0,818,0,0,0,0,0,0,0,0,0,0,0,0
FR_49221,Mouliherne,668,443,4,14,0,189,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0
FR_49222,Mozé-sur-Louet,1616,1195,9,22,522,365,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49223,Mûrs-Erigné,4662,3481,22,79,1694,848,838,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49224,Neuillé,690,477,7,17,0,210,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0
FR_49228,Noyant,4143,2767,33,79,0,1171,0,0,1484,0,0,0,0,0,0,0,0,0,0,0,0
FR_49231,Nuaillé,1175,847,28,43,489,0,1,286,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49235,Parnay,331,250,2,9,128,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49236,Passavant-sur-Layon,101,79,0,7,50,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49237,La Pellerine,110,81,0,2,0,56,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0
FR_49240,La Plaine,735,488,8,17,274,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49241,Le Plessis-Grammoire,2128,1643,11,47,666,448,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49244,Mauges-sur-Loire,14321,10451,223,456,6312,3460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49246,Les Ponts-de-Cé,9840,7046,51,150,3134,1716,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49247,La Possonnière,1951,1455,27,108,1009,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49248,Ombrée d'Anjou,6329,4311,37,104,1663,1589,918,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49253,Le Puy-Notre-Dame,869,571,7,18,297,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49257,Les Rairies,760,492,5,19,0,207,0,0,261,0,0,0,0,0,0,0,0,0,0,0,0
FR_49259,Rochefort-sur-Loire,1909,1477,3,21,673,304,476,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49260,La Romagne,1454,1003,9,34,628,0,2,330,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49261,Gennes-Val-de-Loire,6334,4581,57,188,1736,1660,0,0,940,0,0,0,0,0,0,0,0,0,0,0,0
FR_49262,Rou-Marson,572,436,4,21,226,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49266,Saint-Augustin-des-Bois,888,653,10,11,192,232,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49267,Saint-Barthélemy-dAnjou,7018,5181,28,109,2123,1257,1664,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49269,Saint-Christophe-du-Bois,2347,1646,29,76,988,0,2,551,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49271,Saint-Clément-de-la-Place,1663,1251,13,35,521,377,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49272,Saint-Clément-des-Levées,809,583,6,17,0,224,0,0,336,0,0,0,0,0,0,0,0,0,0,0,0
FR_49278,Sainte-Gemmes-sur-Loire,3045,2301,19,54,1165,547,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49283,Saint-Georges-sur-Loire,2737,1974,28,98,1204,644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49284,Saint-Germain-des-Prés,1109,765,9,42,447,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49288,Saint-Jean-de-la-Croix,167,128,0,3,48,24,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49291,Saint-Just-sur-Dive,275,177,2,10,75,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49292,Val-du-Layon,2524,1899,18,70,1029,623,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49294,Saint-Lambert-la-Potherie,2298,1789,3,35,755,520,476,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49298,Saint-Léger-de-Linières,2969,2243,28,103,1482,630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49299,Saint-Léger-sous-Cholet,2366,1638,14,69,1046,0,6,503,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49301,Sèvremoine,19340,13079,211,579,7794,0,11,4484,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49302,Saint-Macaire-du-Bois,329,202,5,7,83,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49306,Saint-Martin-du-Fouilloux,1437,1088,16,45,706,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49307,Loire-Authion,13016,9556,101,301,3022,2880,1637,0,1615,0,0,0,0,0,0,0,0,0,0,0,0
FR_49308,Saint-Melaine-sur-Aubance,1751,1434,6,35,726,405,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49310,Saint-Paul-du-Bois,472,343,6,3,215,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49311,Saint-Philbert-du-Peuple,1000,696,4,29,0,323,0,0,340,0,0,0,0,0,0,0,0,0,0,0,0
FR_49323,Verrières-en-Anjou,6288,4546,29,83,2092,1192,1150,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49326,Sarrigné,724,582,3,21,262,191,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_49328,Saumur,18480,12427,168,379,5659,4635,0,0,1586,0,0,0,0,0,0,0,0,0,0,0,0
FR_49329,Savennières,1104,828,10,37,587,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
