gisco_id,name,registered,turnout,invalid,blank,PPD/PSD.CDS-PP,PS,B.E.,PDA,PCP-PEV,PCTP/MRPP,MD,POUS,PND,PPM,P.N.R.,MPT,P.H.
PT_050330,Cantar-Galo,2534,912,14,13,80,623,33,2,108,20,2,1,6,1,0,2,7
PT_050331,Canhoso,1431,602,7,14,75,410,31,0,45,9,3,1,2,0,1,3,1
PT_050401,Alcaide,688,251,2,4,58,149,5,0,15,4,2,0,3,3,1,3,2
PT_050402,Alcaria,1063,442,7,16,135,243,16,1,8,4,3,0,2,1,1,3,2
PT_050403,Alcongosta,578,217,1,3,49,142,5,0,12,3,0,0,0,1,0,0,1
PT_050404,Aldeia De Joanes,750,326,1,8,73,186,21,0,21,4,0,0,6,1,0,4,1
PT_050405,Aldeia Nova Do Cabo,666,220,3,4,43,151,3,1,10,2,0,0,0,0,0,2,1
PT_050406,Alpedrinha,1010,292,3,7,96,169,8,0,7,0,0,0,0,1,1,0,0
PT_050407,Atalaia Do Campo,661,269,6,4,86,152,4,0,5,0,1,0,4,1,1,0,5
PT_050408,Barroca,721,277,6,4,103,145,5,0,4,1,1,0,2,0,3,1,2
PT_050409,Bogas De Baixo,360,155,0,4,75,70,0,0,2,1,0,0,0,1,0,1,1
PT_050410,Bogas De Cima,627,172,4,1,101,58,4,0,1,1,1,1,0,0,0,0,0
PT_050411,Capinha,665,216,7,5,52,116,3,0,13,6,2,0,4,3,1,1,3
PT_050412,Castelejo,853,352,14,10,151,148,5,1,2,7,4,1,5,1,0,1,2
PT_050413,Castelo Novo,358,138,8,0,61,56,4,1,2,2,0,0,1,2,0,1,0
PT_050414,Donas,717,288,5,3,42,201,14,0,17,2,1,0,0,0,0,2,1
PT_050415,Escarigo,359,106,1,2,26,65,0,0,0,4,2,0,2,1,0,0,3
PT_050416,Fatela,579,165,1,4,39,104,10,0,4,1,0,1,0,0,0,0,1
PT_050417,Fundão,6846,2543,21,77,860,1191,124,1,183,13,9,2,19,18,4,15,6
PT_050418,Janeiro De Cima,400,185,1,2,84,88,4,0,3,1,0,0,0,1,0,1,0
PT_050419,Lavacolhos,287,150,2,2,34,96,4,0,8,1,0,0,0,0,0,2,1
PT_050420,Orca,845,316,10,4,107,174,5,2,3,1,1,1,2,2,2,0,2
PT_050421,Pêro Viseu,678,184,4,2,67,94,4,0,7,2,0,0,2,1,1,0,0
PT_050422,Póvoa De Atalaia,778,219,4,5,76,121,5,1,2,0,0,1,0,0,2,1,1
PT_050423,Salgueiro,796,211,3,2,60,120,2,2,7,3,1,1,2,3,0,1,4
PT_050424,Silvares,1154,363,6,12,102,210,10,0,11,3,0,1,4,2,1,0,1
PT_050425,Soalheira,1013,304,2,4,142,125,6,1,12,1,1,0,4,3,1,0,2
PT_050426,Souto Da Casa,990,346,11,6,110,181,12,1,9,2,3,1,3,1,3,2,1
PT_050427,Telhado,614,247,8,2,44,162,5,1,8,3,1,0,4,5,1,3,0
PT_050428,Vale De Prazeres,1578,310,6,3,63,205,10,0,12,4,1,0,1,2,2,0,1
PT_050429,Valverde,1143,382,8,8,49,269,15,0,18,5,1,2,4,2,1,0,0
PT_050430,Mata Da Rainha,295,136,11,0,67,49,3,0,1,0,1,1,0,1,1,0,1
PT_050431,Enxames,618,179,1,6,29,131,6,0,3,1,0,1,0,0,1,0,0
PT_050501,Alcafozes,248,107,0,5,35,54,2,1,2,1,3,0,0,2,0,0,2
PT_050502,Aldeia De Santa Margarida,372,154,3,2,41,88,11,0,6,0,1,0,0,0,0,0,2
PT_050503,Idanha-a-Nova,1933,908,17,12,276,539,14,1,31,6,0,1,1,1,1,2,6
PT_050504,Idanha-a-Velha,91,61,0,1,16,39,0,0,2,1,0,0,2,0,0,0,0
PT_050505,Ladoeiro,1438,436,18,7,110,270,4,0,6,8,1,0,5,3,2,0,2
PT_050506,Medelim,315,146,9,0,49,72,0,2,7,2,0,0,2,2,0,1,0
PT_050507,Monfortinho,650,253,5,0,115,121,2,0,2,2,0,1,1,2,2,0,0
PT_050508,Monsanto,1028,412,16,5,81,278,5,0,9,3,2,1,3,6,2,0,1
PT_050509,Oledo,453,183,4,2,55,104,5,1,3,6,0,0,0,1,0,1,1
PT_050510,Penha Garcia,984,445,6,6,128,263,3,2,4,8,3,1,2,3,2,1,13
PT_050511,Proença-a-Velha,289,161,7,9,61,60,6,1,3,3,0,1,2,2,3,2,1
PT_050512,Rosmaninhal,714,258,9,0,72,143,2,1,9,13,0,2,0,1,1,2,3
PT_050513,Salvaterra Do Extremo,253,106,1,1,25,67,0,0,7,2,0,0,0,1,0,0,2
PT_050514,São Miguel De Acha,701,250,8,9,74,129,4,1,19,1,1,0,1,1,0,2,0
PT_050515,Segura,236,109,2,5,31,64,0,0,1,2,0,1,0,1,1,0,1
PT_050516,Toulões,337,179,10,7,40,115,0,0,1,3,0,0,1,0,2,0,0
