gisco_id,name,registered,turnout,invalid,blank,SPD,CDU,FDP,DIE LINKE,GRÜNE,CSU,NPD,REP,FAMILIE,Die Tierschutzpartei,PBC,MLPD,BüSo,BP,PSG,Volksabstimmung,ZENTRUM,ADM,CM,DKP,DVU,DIE VIOLETTEN,FWD,ödp,PIRATEN,RRP,RENTNER
DE_01053002,Alt Mölln,688,432,7,0,115,141,69,38,42,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1
DE_01053003,Aumühle,2563,1559,26,0,310,571,304,82,232,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,22,0,5
DE_01053004,Bäk,667,465,9,0,90,183,98,23,46,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3
DE_01053005,Bälau,194,144,4,0,25,55,33,10,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
DE_01053006,Basedow,543,379,12,0,100,103,48,32,42,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,8
DE_01053007,Basthorst,325,245,8,0,53,92,43,12,25,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2
DE_01053008,Behlendorf,295,211,3,0,31,78,45,10,37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1
DE_01053009,Berkenthin,1588,1064,33,0,299,326,153,89,122,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,0,5
DE_01053010,Besenthal,66,55,2,0,12,28,8,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DE_01053011,Bliestorf,509,370,13,0,121,90,35,27,66,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,5
DE_01053012,Börnsen,3206,2159,25,0,669,631,322,138,302,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,38,0,12
DE_01053013,Borstorf,222,150,3,0,37,51,26,5,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0
DE_01053014,Breitenfelde,1412,1003,19,0,239,315,183,87,114,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,10
DE_01053015,Bröthen,232,162,2,0,38,55,18,21,21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
DE_01053016,Brunsmark,131,110,1,0,30,31,24,6,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DE_01053017,Brunstorf,501,322,11,0,79,131,39,18,32,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,2
DE_01053018,Buchholz,180,147,2,0,26,41,25,7,43,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
DE_01053019,Buchhorst,145,105,4,0,27,32,22,7,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,2
DE_01053020,Büchen,4519,2868,60,0,834,860,465,227,277,0,50,0,0,0,0,2,0,0,0,0,0,0,0,0,9,0,0,0,62,0,22
DE_01053021,Dahmker,123,93,1,0,16,38,23,5,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
DE_01053022,Dalldorf,279,195,6,0,38,70,25,25,21,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0
DE_01053023,Dassendorf,2414,1656,23,0,429,538,322,99,195,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27,0,8
DE_01053024,Düchelsdorf,134,104,1,0,35,38,12,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
DE_01053025,Duvensee,425,298,3,0,75,105,50,17,38,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1
DE_01053026,Einhaus,325,233,0,0,70,83,37,10,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
DE_01053027,Elmenhorst,686,450,9,0,99,143,88,40,50,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,3
DE_01053028,Escheburg,2519,1736,28,0,444,516,284,133,267,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,33,0,17
DE_01053029,Fitzen,256,197,4,0,56,59,14,26,29,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
DE_01053030,Fredeburg,38,25,1,0,7,5,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01053031,Fuhlenhagen,240,172,6,0,31,60,40,7,22,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
DE_01053032,Geesthacht,22770,13922,264,0,3923,3695,2144,1622,1591,0,222,0,0,0,0,5,0,0,0,0,0,0,0,0,24,0,0,0,313,0,119
DE_01053033,Giesensdorf,90,66,3,0,6,25,14,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
DE_01053034,Göldenitz,183,130,8,0,28,58,21,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01053035,Göttin,50,44,0,0,10,15,4,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
DE_01053036,Grabau,233,154,1,0,21,67,40,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DE_01053037,Grambek,331,242,7,0,57,84,35,18,32,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3
DE_01053038,Grinau,272,136,4,0,41,38,26,11,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
DE_01053039,Groß Boden,179,129,1,0,26,31,28,17,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2
DE_01053040,Groß Disnack,78,62,0,0,9,33,8,3,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
DE_01053041,Groß Grönau,3010,2121,36,0,572,716,326,108,304,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,18
DE_01053042,Groß Pampau,116,91,1,0,16,38,19,5,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
