gisco_id,name,registered,turnout,invalid,blank,Α.Κ.Ε.Λ.,ΔΗ.ΣΥ.,Παναγιώτου,ΔΗ.ΚΟ.,Ε.ΛΑ.Μ.,Βολτ,ΔΗ.ΠΑ.,Ε.Δ.Ε.Κ.-Σ.Κ.,Κ.Ο.Σ.Π.,Κ.Ε.Κ.Κ.,Κ.Ζ.Κ.,Κ.Ε.Δ.,Ζερβίδης,ΝΙΚΗ
CY_6214,Mesana,58,50,0,5,8,4,2,24,5,0,1,0,0,0,1,0,0,0
CY_6215,Praitori,69,63,0,7,16,14,6,6,3,0,3,5,0,3,0,0,0,0
CY_6216,Φιλούσα Κελοκεδάρων,74,34,0,1,6,1,3,7,10,0,5,1,0,0,0,0,0,0
CY_6217,Arminou,98,73,0,5,14,18,4,13,16,0,0,2,1,0,0,0,0,0
CY_6218,Άγιος Νικόλαος Πάφου,61,56,1,6,9,8,11,8,12,0,0,1,0,0,0,0,0,0
CY_6219,Άγιος Ιωάννης Πάφου,32,20,1,0,6,0,3,3,4,0,0,0,0,3,0,0,0,0
CY_6220,Αμαργέτη,265,237,8,45,34,40,47,16,24,7,1,11,0,3,1,0,0,0
CY_6221,Αγία Μαρίνα Κελοκεδάρων,107,48,2,1,4,9,15,1,6,1,0,7,0,1,0,0,1,0
CY_6222,Pentalia,160,145,2,25,15,19,25,25,15,1,1,14,1,1,0,0,0,1
CY_6224,Galataria,114,109,3,8,7,16,23,21,18,4,1,8,0,0,0,0,0,0
CY_6225,Koilineia,100,83,0,13,5,8,19,20,9,2,2,2,2,1,0,0,0,0
