gisco_id,name,registered,turnout,invalid,blank,PARTIDUL DEMOCRAT LIBERAL,PARTIDUL MIŞCAREA POPULARĂ,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,ALIANŢA ELECTORALĂ PSD-UNPR-PC,PARTIDUL NAŢIONAL LIBERAL,PARTIDUL ROMÂNIA MARE,ALIANŢA NAŢIONALĂ A AGRICULTORILOR,PARTIDUL DREPTĂŢII SOCIALE,PARTIDUL NOUA REPUBLICĂ,PARTIDUL VERDE,FORŢA CIVICĂ,PARTIDUL ECOLOGIST ROMÂN,PARTIDUL ALTERNATIVA SOCIALISTĂ,PARTIDUL NAŢIONAL ŢĂRĂNESC CREŞTIN DEMOCRAT,PARTIDUL POPORULUI - DAN DIACONESCU,UNGUREANU GEORGIANA-CORINA,FILIP CONSTANTIN-TITIAN,LIGA DĂNUŢ,PUREA PAUL,CAPSALI PERICLE-IULIAN,COSTEA PETER,DIACONU MIRCEA,DĂEANU VALENTIN-EUGEN
RO_122613,Făurei,1774,734,60,0,86,26,2,399,65,11,6,3,0,0,12,7,3,5,23,3,1,2,0,1,1,17,1
RO_122668,Gherăeşti,5235,956,80,0,137,93,2,307,60,24,11,4,4,7,18,61,1,7,71,8,2,3,4,1,7,41,3
RO_122702,Girov,4234,1673,132,0,195,75,2,587,289,37,15,9,3,1,28,38,6,60,71,14,3,7,3,20,0,76,2
RO_122828,Gârcina,3868,1031,122,0,98,93,2,391,70,46,21,3,2,5,16,28,4,13,45,3,1,4,8,10,5,39,2
RO_122864,Grinţieş,2101,513,38,0,45,32,0,159,106,12,4,2,0,0,5,5,1,0,22,0,1,4,1,9,1,62,4
RO_122908,Grumăzeşti,4436,1334,84,0,108,49,4,683,202,27,17,5,2,4,19,12,4,6,38,3,1,7,1,7,3,47,1
RO_122953,Hangu,3296,976,66,0,191,24,1,386,99,30,29,2,4,5,9,7,3,9,34,6,2,4,2,13,1,48,1
RO_123013,Icuşeşti,3631,1012,72,0,106,72,0,470,134,28,12,4,3,1,11,17,0,16,29,3,1,5,1,5,2,16,4
RO_123102,Ion Creanga,4604,1692,108,0,113,57,2,866,349,27,16,3,1,4,12,23,6,4,35,4,1,3,3,12,1,41,1
RO_123175,Mărgineni,3112,1491,79,0,123,90,2,650,179,38,21,3,6,0,16,48,5,25,132,7,4,11,6,12,5,27,2
RO_123228,Moldoveni,1823,533,64,0,72,35,2,147,84,22,17,2,3,4,14,12,1,2,21,0,2,2,4,2,0,21,0
RO_123255,Oniceni,2474,1340,79,0,83,44,1,960,66,15,4,3,2,3,10,2,3,13,32,2,0,5,1,3,0,8,1
RO_123371,Păstrăveni,3064,1054,79,0,38,74,2,383,228,21,6,6,2,0,4,141,3,6,16,2,1,3,1,3,1,34,0
RO_123424,Petricani,4504,1316,80,0,105,47,3,574,257,42,16,9,2,1,15,15,2,13,56,4,3,2,4,3,17,46,0
RO_123479,Piatra Şoimului,6823,1536,167,0,210,59,0,756,65,29,18,5,3,4,21,18,5,13,79,10,4,6,3,19,7,34,1
RO_123521,Pipirig,6957,1657,143,0,142,79,6,867,131,51,10,10,3,7,22,22,8,16,47,4,4,5,3,2,9,62,4
RO_123601,Pângăraţi,4425,1104,91,0,100,100,1,376,88,39,10,4,3,2,24,88,3,7,47,4,0,14,4,40,10,47,2
RO_123674,Podoleni,4692,1630,91,0,138,95,0,932,135,25,9,7,4,2,17,13,7,8,38,8,1,4,4,56,4,30,2
