gisco_id,name,registered,turnout,invalid,blank,EKD,Kesk,ER,EIP,VL,Isamaa,VEE,KE,ERL,SDE,EER,Burmeister,Luus [Koit Luus],Hallik,Kodu,Kambla,Ivinskaja,Stepanova
EE_0854,Valga,0,0,0,0,72,1376,1163,13,3,434,7,35,753,430,175,0,0,0,0,0,0,0
EE_MA13,Valga maakond,24985,13336,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0943,Õru,0,0,0,0,3,62,24,0,0,11,0,0,63,15,8,0,0,0,0,0,0,0
EE_0105,Abja,0,0,0,0,15,517,244,2,1,121,0,1,142,181,78,0,0,0,0,0,0,0
EE_0192,Halliste,0,0,0,0,10,140,174,0,0,128,0,3,94,91,57,0,0,0,0,0,0,0
EE_0600,Karksi,0,0,0,0,29,424,406,4,3,434,1,1,213,199,121,0,0,0,0,0,0,0
EE_0328,Kolga-Jaani,0,0,0,0,6,203,118,0,17,149,0,0,105,78,53,0,0,0,0,0,0,0
EE_0357,Kõo,0,0,0,0,4,178,90,0,1,88,0,0,33,48,46,0,0,0,0,0,0,0
EE_0360,Kõpu,0,0,0,0,3,62,69,1,1,48,0,1,101,34,27,0,0,0,0,0,0,0
EE_0490,Mõisaküla,0,0,0,0,9,188,102,1,1,88,2,4,20,39,36,0,0,0,0,0,0,0
EE_0570,Paistu,0,0,0,0,9,129,189,2,0,135,0,0,114,56,36,0,0,0,0,0,0,0
EE_0629,Pärsti,0,0,0,0,35,290,476,2,1,269,1,1,133,204,89,0,0,0,0,0,0,0
EE_0715,Saarepeedi,0,0,0,0,5,75,139,1,0,110,0,0,65,56,49,0,0,0,0,0,0,0
EE_0759,Suure-Jaani vald,0,0,0,0,31,691,649,9,1,526,0,0,179,294,253,0,0,0,0,0,0,0
EE_0797,Tarvastu,0,0,0,0,14,341,625,0,0,253,3,1,167,189,153,0,0,0,0,0,0,0
EE_0892,Viiratsi,0,0,0,0,34,282,459,0,3,275,2,5,359,186,118,0,0,0,0,0,0,0
EE_0897,Viljandi linn,0,0,0,0,107,1502,2749,13,16,1887,3,5,1115,1204,646,0,0,0,0,0,0,0
EE_MA14,Viljandi maakond,43589,24833,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0912,Võhma,0,0,0,0,1,317,161,1,2,76,0,0,86,56,25,0,0,0,0,0,0,0
EE_0143,Antsla,0,0,0,0,25,367,471,6,3,283,0,0,174,328,109,0,0,0,0,0,0,0
EE_0181,Haanja,0,0,0,0,25,111,92,5,1,83,0,0,87,186,30,0,0,0,0,0,0,0
EE_0389,Lasva,0,0,0,0,11,144,131,0,0,92,0,0,144,206,50,0,0,0,0,0,0,0
EE_0460,Meremäe,0,0,0,0,2,65,50,0,0,134,1,1,139,42,40,0,0,0,0,0,0,0
EE_0468,Misso,0,0,0,0,5,119,51,1,0,95,0,0,67,68,16,0,0,0,0,0,0,0
EE_0493,Mõniste,0,0,0,0,2,89,61,1,0,58,0,1,109,91,36,0,0,0,0,0,0,0
EE_0697,Rõuge,0,0,0,0,11,150,124,2,2,121,1,0,103,544,35,0,0,0,0,0,0,0
EE_0767,Sõmerpalu,0,0,0,0,8,115,380,4,1,93,0,0,69,161,44,0,0,0,0,0,0,0
EE_0843,Urvaste,0,0,0,0,14,118,118,3,1,151,0,0,39,116,57,0,0,0,0,0,0,0
EE_0865,Varstu,0,0,0,0,4,120,103,2,0,110,1,0,35,151,16,0,0,0,0,0,0,0
EE_0874,Vastseliina,0,0,0,0,19,216,188,1,0,161,0,0,144,164,68,0,0,0,0,0,0,0
EE_0919,Võru linn,0,0,0,0,134,1243,1664,14,2,1257,6,10,500,1512,283,0,0,0,0,0,0,0
EE_MA15,Võru maakond,30526,17629,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0918,Võru vald,0,0,0,0,39,295,499,7,0,471,0,0,162,647,98,0,0,0,0,0,0,0
EE_EEZZ99,välisriigid,2146,2146,105,0,59,122,229,5,3,1213,5,5,51,224,124,0,0,0,0,0,1,0
