gisco_id,name,registered,turnout,invalid,blank,РУСОФИЛИ ЗА ВЪЗРАЖДАНЕ НА ОТЕЧЕСТВОТО,"ПАТРИОТИЧЕН ФРОНТ – НФСБ, БДС РАДИКАЛИ И БНДС ЦЕЛОКУПНА БЪЛГАРИЯ",ВЪЗРАЖДАНЕ,НАЦИОНАЛНО ОБЕДИНЕНИЕ НА ДЕСНИЦАТА,БСДД – Български Съюз за Директна Демокрация,БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ – ЕВРОЛЕВИЦА,АТАКА,ПП ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ,ПП ГЛАС НАРОДЕН,Движение за права и свободи – ДПС,ПП ПРАВОТО,ВМРО – БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ,БНО,ВОЛЯ,ПП ИМА ТАКЪВ НАРОД,Продължаваме Промяната,Партия МИР,ПП БЛАГОДЕНСТВИЕ – ОБЕДИНЕНИЕ – ГРАДИВНОСТ,Български национален съюз – НД,ПРЯКА ДЕМОКРАЦИЯ,"ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България, ДСБ, Зелено движение)",ИЗПРАВИ СЕ БГ! НИЕ ИДВАМЕ!,ГЕРБ-СДС,БСП ЗА БЪЛГАРИЯ,БЪЛГАРСКА ПРОГРЕСИВНА ЛИНИЯ,Партия на ЗЕЛЕНИТЕ,БРИГАДА,ИК за Петър Константинов Низамов - независим-Петър Константинов Низамов,Давид Леон Леви - независим-Давид Леон Леви
BG_SHU25,Смядово,5464,1490,14,17,8,14,76,18,6,16,15,15,11,117,4,24,5,12,150,215,2,1,1,1,30,22,520,173,2,1,0,0,0
BG_JAM22,Стралджа,9591,3083,72,40,10,20,126,31,14,33,56,18,20,65,17,28,8,28,291,418,3,7,2,4,135,85,855,682,2,8,5,0,0
BG_SOF46,Столична,1176216,508164,177,7798,1359,850,25476,1705,670,1648,2136,1983,2328,2840,981,5218,336,660,34548,171414,720,237,213,253,67835,13183,117734,43747,185,790,150,0,53
BG_DOB12,Генерал Тошево,12806,3742,48,43,12,36,137,14,16,46,38,17,17,218,16,28,6,15,492,632,8,3,2,1,141,69,654,1026,2,2,3,0,0
BG_DOB15,Добрич-селска,20239,6186,78,50,18,28,185,37,29,56,38,34,30,1530,30,30,4,29,418,819,12,10,2,3,148,150,937,1456,10,7,9,0,0
BG_SFO39,Самоков,30825,13031,79,158,37,53,402,36,28,70,68,60,66,1506,27,155,13,23,943,2657,10,8,5,10,516,214,3401,2460,7,14,2,0,0
BG_VRC08,Бяла Слатина,20645,8629,41,127,29,47,224,80,33,56,52,31,52,990,28,58,16,47,754,1347,10,9,8,2,207,415,3194,746,5,13,8,0,0
BG_DOB27,Тервел,20232,4378,15,48,13,10,122,35,13,43,25,22,32,1511,21,61,14,43,249,464,7,9,4,4,65,47,1071,417,1,10,2,0,0
BG_HKV19,Минерални бани,6844,3602,12,17,4,8,40,6,3,7,6,10,11,2684,7,4,0,4,119,265,2,2,1,1,31,31,212,112,0,3,0,0,0
BG_PDV43,Сопот,8815,3163,0,61,7,18,151,21,2,19,21,29,16,69,6,48,5,4,404,989,3,5,0,1,122,89,611,459,2,0,1,0,0
