gisco_id,name,registered,turnout,invalid,blank,ФСБСБ,ДНБ,КзБ,Гранит,КнЕ,НДСВ,КДБ,ДСБ,НКДЖБ,Евророма,КнР,БНС,НВ,Атака,ФАГО,ОППБ,ДПС,БХК,ОДС,НЗПНП,ПСД,РК,Петко Илиев Пенев,Радослав Николов Коев,Неделчо Михайлов Димов,Стефчо Иванов Събчев,Илия Замфиров Илиев - Независим,Любомир Христов Василев,Ивайло Манчев Петров,Жоро Петров Ничев,Георги Николаев Мумджиев,Веселина Минчева Бозукова,Асен Фиданов Чаушев,Илия Кирилов Велчев - Независим,Юлий Григоров Абаджиев - Независим
BG_KRZ0820746,Джебел,8202,6209,252,0,5,9,696,0,4,257,21,16,4,5,23,20,6,24,5,22,4761,15,59,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_KRZ1436926,Кирково,21721,15193,545,0,11,10,2430,0,3,374,38,23,21,10,144,63,28,67,14,64,10509,17,813,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_KRZ1539970,Крумовград,17886,11617,476,0,15,13,1674,0,8,414,43,128,10,21,98,80,48,91,20,51,8209,22,179,3,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_KRZ1640909,Кърджали,62366,40120,1593,0,66,38,10318,0,19,3091,57,720,28,30,156,307,290,1932,39,107,20454,137,696,10,15,17,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_KRZ2148996,Момчилград,16775,10563,494,0,7,11,1295,0,2,218,32,41,4,12,58,36,31,50,10,40,8118,12,81,2,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_KRZ3581236,Черноочене,9050,7040,207,0,3,8,200,0,2,114,16,2,1,3,21,3,6,14,9,22,6363,9,36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_KNL0404501,Бобов дол,9224,4545,242,0,14,16,1783,13,6,1283,7,110,15,41,44,142,162,230,33,14,74,20,284,2,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_KNL0504532,Бобошево,2916,1477,80,0,4,5,616,3,8,351,4,34,4,2,42,48,65,65,2,4,35,0,102,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_KNL2739116,Кочериново,4523,2385,120,0,4,14,1030,9,3,449,5,102,5,19,25,49,64,62,15,9,19,39,339,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_KNL2941112,Кюстендил,60601,32274,1170,0,78,86,12790,139,117,8312,57,1651,102,160,295,1458,1061,1762,59,93,453,87,2289,16,16,23,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_KNL3151216,Невестино,3174,1911,115,0,6,4,1075,6,6,300,2,81,12,6,6,70,35,28,2,10,40,2,102,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_KNL3862671,Рила,2667,1529,113,0,5,8,733,11,3,262,4,66,2,3,12,55,45,90,12,5,4,1,91,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_KNL4165365,Сапарева баня,6804,3066,115,0,10,7,1154,6,5,860,10,225,23,14,23,139,67,82,27,16,97,4,173,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_KNL4868789,Дупница,44470,20128,675,0,39,63,8096,21,21,5069,28,1478,35,93,217,824,749,736,120,64,224,101,1441,10,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_KNL5073047,Трекляно,849,636,14,0,3,2,408,3,1,69,0,15,0,1,13,33,6,10,1,1,32,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_LOV0252218,Априлци,3226,1857,42,0,7,16,726,0,1,423,1,63,9,8,87,138,57,44,17,11,29,4,170,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_LOV1743476,Летница,4521,2565,131,0,8,7,861,1,2,380,6,66,8,45,95,97,32,137,1,11,568,11,94,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_LOV1843952,Ловеч,50939,29352,702,0,37,146,9446,38,24,6479,42,1477,70,663,509,1472,1043,2718,108,62,1381,239,2586,15,65,30,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_LOV1944327,Луковит,16152,9385,371,0,10,22,3221,12,16,2808,25,295,30,194,95,214,122,371,4,41,1048,60,410,5,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_LOV3372343,Тетевен,19190,11518,410,0,227,103,3458,17,14,1872,43,804,60,293,117,321,399,767,25,54,1681,29,809,7,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_LOV3473198,Троян,31719,17575,366,0,83,49,5296,24,23,3625,24,1568,42,201,118,1190,683,2121,27,76,506,97,1420,13,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_LOV3675054,Угърчин,6372,3833,261,0,3,17,1475,7,5,527,17,125,9,333,74,197,70,95,48,20,306,30,209,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
