gisco_id,name,registered,turnout,invalid,blank,Kesk.,SDP,Kok,Vas,VIHR,KD,SFP,PS,SKP,LKP,SSP,SKS,KTP,KA,STP,IPU,Basic,Hänninen,Syväoja,Varje,IKL,YA,OY,YS,BA,S,YVP,Aaltonen,Flinkman
FI_444,Lohja / Lojo,28891,18712,0,0,2099,5191,4529,2629,1496,839,527,1026,63,5,52,0,35,20,5,26,0,0,0,0,17,12,4,0,0,0,0,0,0
FI_434,Loviisa / Lovisa,6446,3960,0,0,208,1157,600,159,256,74,1257,159,14,0,7,0,14,13,1,11,0,0,0,0,1,0,0,0,0,0,0,0,0
FI_505,Mäntsälä,13670,8635,0,0,2323,1607,2403,434,697,295,61,629,30,3,15,0,15,18,7,13,0,0,0,0,8,2,3,0,0,0,0,0,0
FI_504,Myrskylä / Mörskom,1629,1045,0,0,293,139,289,22,62,31,118,67,2,1,4,0,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_540,Nummi-Pusula,4645,3050,0,0,911,562,542,338,177,208,16,216,15,0,16,0,7,7,1,10,0,0,0,0,7,3,0,0,0,0,0,0,0
FI_543,Nurmijärvi,27189,18826,0,0,4938,3758,5354,1093,1452,685,113,1123,46,2,46,0,13,20,8,36,0,0,0,0,26,7,8,0,0,0,0,0,0
FI_585,Pernaja / Pernå,3244,2096,0,0,128,360,176,98,143,22,1075,61,6,1,3,0,2,4,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0
FI_606,Pohja / Pojo,4046,2578,0,0,146,1046,221,185,244,32,518,89,69,0,5,0,0,3,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0
FI_616,Pukkila,1501,960,0,0,376,142,201,43,74,34,7,58,4,0,2,0,1,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0
FI_737,Sammatti,1038,748,0,0,199,155,166,76,61,20,3,48,1,0,1,0,1,4,1,2,0,0,0,0,1,1,1,0,0,0,0,0,0
FI_753,Sipoo / Sibbo,14210,10364,0,0,664,1253,2354,346,802,270,4096,411,61,2,7,0,6,8,0,8,0,0,0,0,8,0,8,0,0,0,0,0,0
FI_755,Siuntio / Sjundeå,4163,2954,0,0,252,616,595,151,281,86,782,156,6,2,3,0,2,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
FI_701,Ruotsinpyhtää / Strömfors,2454,1514,0,0,321,447,199,62,63,37,277,72,10,0,3,0,1,2,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0
FI_186,Järvenpää / Träskända,29030,19034,0,0,2700,4360,5518,1369,2347,914,122,1267,161,14,24,0,15,41,8,33,0,0,0,0,18,4,4,0,0,0,0,0,0
FI_858,Tuusula / Tusby,26080,17972,0,0,3484,3938,5268,1144,1598,784,219,1167,96,8,25,0,19,30,11,39,0,0,0,0,14,8,6,0,0,0,0,0,0
FI_092,Vantaa / Vanda,144269,93509,0,0,10742,22297,25161,7302,11863,4343,2462,7176,509,68,280,0,138,245,77,135,0,0,0,0,89,45,27,0,0,0,0,0,0
