gisco_id,name,registered,turnout,invalid,blank,SKE,Kesk.,FP,Kok,KD,SDP,LPVV,PP,SKP,Korj,PS,Vas,EjOP,STL,VIHR,SFP,Lokka
FI_607,Polvijärvi,3683,1261,6,0,0,500,1,69,107,162,1,6,5,25,262,31,0,9,73,1,3
FI_686,Rautalampi,2652,1016,3,0,0,387,4,112,88,121,2,5,5,3,123,67,4,4,83,4,1
FI_687,Rautavaara,1480,448,6,0,2,171,0,16,36,45,1,1,4,0,79,53,0,5,27,2,0
FI_707,Rääkkylä,1904,775,2,0,0,236,1,39,48,92,1,1,1,163,118,27,1,5,38,2,0
FI_749,Siilinjärvi,16569,6175,26,0,6,2077,10,745,544,759,5,23,21,17,926,267,8,43,650,45,3
FI_762,Sonkajärvi,3485,1192,2,0,3,549,2,58,124,101,0,4,8,3,219,44,1,13,56,4,1
FI_778,Suonenjoki,6063,1917,14,0,5,683,1,184,166,262,1,7,6,11,321,126,7,11,95,11,6
FI_844,Tervo,1412,576,0,0,0,265,0,32,50,60,1,2,1,6,102,22,3,3,25,2,2
FI_848,Tohmajärvi,3833,1331,5,0,1,464,1,125,104,234,1,1,8,52,213,34,6,16,63,1,2
FI_857,Tuusniemi,2223,706,2,0,0,289,1,61,58,94,2,1,6,5,101,37,2,3,36,7,1
FI_911,Valtimo,1859,624,1,0,3,249,1,28,41,93,0,0,4,5,106,29,0,15,47,1,1
FI_915,Varkaus,18006,5758,26,0,8,850,4,933,455,1584,5,17,16,15,780,400,18,36,545,44,22
FI_921,Vesanto,1833,799,2,0,3,397,1,55,37,103,0,1,3,1,126,21,2,6,34,5,2
FI_925,Vieremä,3056,1073,2,0,0,583,1,47,90,42,1,3,2,2,178,67,0,9,41,5,0
FI_005,Alajärvi,7892,2634,7,0,0,1122,3,233,364,179,1,2,10,13,519,35,1,36,89,11,9
FI_010,Alavus,9562,3374,13,0,5,1161,4,515,228,346,3,11,21,7,801,63,0,40,136,9,11
FI_052,Evijärvi,2056,753,2,0,0,350,0,59,76,48,4,0,0,3,150,23,0,11,15,8,4
FI_074,Halsua,1044,391,1,0,0,219,2,13,56,10,1,0,0,3,63,4,0,5,11,2,1
FI_145,Ilmajoki,9578,3596,14,0,9,1100,3,703,284,426,2,10,15,7,736,61,4,43,143,29,7
FI_151,Isojoki / Storå,1866,611,1,0,0,236,1,112,25,46,0,3,2,4,142,9,0,8,13,7,2
FI_152,Isokyrö / Storkyro,3870,1486,2,0,2,485,1,288,111,182,0,4,20,1,302,23,1,12,28,22,2
FI_217,Kannus,4636,1531,5,0,2,701,1,101,108,160,3,4,0,4,267,29,1,30,104,8,3
FI_218,Karijoki / Bötom,1271,438,0,0,0,180,0,82,18,30,0,1,1,1,96,6,0,8,9,6,0
FI_231,Kaskinen / Kaskö,1253,500,2,0,0,14,0,42,12,117,0,1,1,0,65,40,1,10,30,165,0
FI_232,Kauhajoki,11238,3694,14,0,6,1248,5,791,186,365,4,7,13,9,774,72,0,28,135,32,5
FI_233,Kauhava,13282,4967,14,0,8,1525,3,727,902,442,6,7,35,14,1007,58,2,59,100,51,7
FI_236,Kaustinen / Kaustby,3398,1274,5,0,0,601,3,74,83,77,7,1,3,4,256,15,4,24,93,22,2
FI_272,Kokkola / Karleby,39165,13959,56,0,11,3113,26,1476,1562,1893,15,40,29,33,2088,593,9,173,1322,1496,24
FI_280,Korsnäs,1992,1038,2,0,0,4,0,4,10,25,0,0,0,1,12,8,2,0,2,968,0
FI_287,Kristiinankaupunki / Kristinestad,6791,2802,18,0,2,199,2,213,92,221,2,4,3,2,212,57,3,15,71,1684,2
FI_288,Kruunupyy / Kronoby,5575,2450,9,0,4,102,0,53,146,93,2,1,7,1,107,27,0,7,56,1835,0
FI_300,Kuortane,3067,1173,4,0,2,414,0,239,110,92,0,0,4,3,241,11,0,8,38,5,2
FI_301,Kurikka,17604,6247,18,0,6,1852,7,1228,365,823,3,17,31,7,1360,169,3,72,227,47,12
FI_399,Laihia / Laihela,6256,2438,10,0,1,560,8,401,126,408,2,6,7,6,663,63,0,25,98,45,9
FI_403,Lappajärvi,2609,1011,3,0,3,488,2,91,96,67,2,1,0,6,193,3,0,21,30,3,2
