gisco_id,name,registered,turnout,invalid,blank,ÖVP,SPÖ,FPÖ,GRÜNE,BZÖ,NEOS,REKOS,ANDERS,EUSTOP
AT_10714,Nickelsdorf,1328,647,28,0,124,209,151,68,3,22,5,14,23
AT_10715,Pama,880,500,12,0,212,195,45,13,0,9,1,5,8
AT_10716,Pamhagen,1427,562,17,0,212,189,75,18,1,23,6,6,15
AT_10717,Parndorf,3096,1062,29,0,162,364,285,83,4,60,14,25,36
AT_10718,Podersdorf am See,1721,894,54,0,363,163,149,72,7,47,10,9,20
AT_10719,Sankt Andrä am Zicksee,1150,612,19,0,249,184,65,37,3,18,15,2,20
AT_10720,Tadten,1056,601,12,0,253,187,79,25,1,28,2,5,9
AT_10721,Wallern im Burgenland,1516,702,34,0,191,266,127,38,0,18,3,4,21
AT_10722,Weiden am See,1893,971,38,0,291,212,230,103,2,56,14,5,20
AT_10723,Winden am See,1084,476,23,0,84,188,93,29,1,22,5,10,21
AT_10724,Zurndorf,1718,905,47,0,134,325,259,66,3,42,6,10,13
AT_10725,Neudorf,585,306,18,0,125,82,52,16,1,7,0,2,3
AT_10726,Potzneusiedl,440,253,9,0,45,98,76,9,0,10,0,1,5
AT_10727,Edelstal,500,302,10,0,145,58,59,11,0,8,5,0,6
AT_10799,Briefwahlkarten - Neusiedel am See,0,1563,32,0,442,458,236,169,5,131,12,29,49
AT_10801,Deutschkreutz,2645,1159,40,0,496,335,153,53,1,52,7,5,17
AT_10802,Draßmarkt,1179,781,40,0,342,229,80,40,1,29,6,5,9
AT_10803,Frankenau-Unterpullendorf,993,581,19,0,290,156,44,42,1,13,1,4,11
AT_10804,Großwarasdorf,1214,637,23,0,279,188,67,45,0,18,3,7,7
AT_10805,Horitschon,1548,822,33,0,313,250,121,34,1,28,22,2,18
AT_10806,Kaisersdorf,514,299,14,0,59,135,53,13,2,7,1,5,10
AT_10807,Kobersdorf,1586,933,42,0,202,399,144,59,1,38,4,10,34
AT_10808,Lackenbach,942,441,27,0,106,167,87,17,0,20,0,6,11
AT_10809,Lockenhaus,1678,866,38,0,267,278,148,66,4,40,2,7,16
AT_10810,Lutzmannsburg,732,373,19,0,127,111,55,33,2,14,3,1,8
AT_10811,Mannersdorf an der Rabnitz,1533,829,40,0,238,303,159,35,1,19,8,4,22
AT_10812,Markt Sankt Martin,963,581,30,0,197,196,74,36,0,14,4,6,24
AT_10813,Neckenmarkt,1397,817,25,0,319,275,75,35,1,47,25,5,10
AT_10814,Neutal,886,646,33,0,165,334,59,15,1,13,3,3,20
AT_10815,Nikitsch,1238,773,34,0,340,250,64,42,1,19,3,6,14
AT_10816,Oberpullendorf,2438,998,41,0,320,249,152,128,1,61,16,8,22
AT_10817,Pilgersdorf,1406,759,34,0,369,207,71,32,0,28,5,3,10
AT_10818,Piringsdorf,741,397,11,0,119,157,49,28,1,14,3,6,9
AT_10819,Raiding,708,375,14,0,132,154,51,9,0,9,2,0,4
AT_10820,Ritzing,757,430,11,0,87,189,71,33,0,23,3,2,11
AT_10821,Steinberg-Dörfl,1089,652,34,0,202,199,95,48,3,38,6,3,24
AT_10822,Stoob,1161,679,29,0,151,285,118,41,1,28,1,5,20
AT_10823,Weppersdorf,1477,873,43,0,135,439,163,36,1,25,2,9,20
AT_10824,Lackendorf,498,271,9,0,73,116,37,5,0,6,5,3,17
AT_10825,Unterfrauenhaid,521,314,17,0,115,114,37,8,0,9,3,5,6
AT_10826,Unterrabnitz-Schwendgraben,527,330,11,0,144,91,43,9,1,11,1,0,19
AT_10827,Weingraben,307,216,7,0,72,101,20,10,0,2,0,1,3
AT_10828,Oberloisdorf,672,395,16,0,138,152,50,15,0,20,1,0,3
AT_10899,Briefwahlkarten - Oberpullendorf,0,1559,29,0,531,556,144,141,3,87,14,17,37
AT_10901,Bad Tatzmannsdorf,1188,609,13,0,221,114,127,59,0,52,6,3,14
AT_10902,Bernstein,1854,1068,55,0,266,448,190,47,2,38,4,4,14
AT_10903,Deutsch Schützen-Eisenberg,991,587,35,0,276,83,111,23,3,32,4,4,16
AT_10904,Grafenschachen,1068,546,39,0,129,254,75,13,0,15,5,3,13
AT_10905,Großpetersdorf,2908,1210,38,0,331,459,198,67,4,54,12,20,27
AT_10906,Hannersdorf,665,347,25,0,110,114,59,19,0,17,0,1,2
AT_10907,Kemeten,1249,489,22,0,53,184,130,41,2,19,6,11,21
AT_10908,Kohfidisch,1206,620,36,0,203,188,114,34,1,23,4,6,11
AT_10909,Litzelsdorf,957,411,14,0,105,108,102,38,2,14,3,9,16
AT_10910,Loipersdorf-Kitzladen,1021,524,14,0,151,228,95,14,0,8,2,3,9
AT_10911,Mariasdorf,1002,486,23,0,111,169,119,31,1,18,2,3,9
AT_10912,Markt Allhau,1506,734,37,0,182,172,152,88,2,58,3,12,28
AT_10913,Markt Neuhodis,562,289,13,0,100,99,46,11,1,7,1,4,7
AT_10914,Mischendorf,1427,684,24,0,253,238,103,28,0,20,3,2,13
AT_10915,Oberdorf im Burgenland,852,362,20,0,89,137,62,17,0,15,8,6,8
AT_10916,Oberschützen,1919,984,46,0,324,237,169,117,3,42,12,14,20
AT_10917,Oberwart,5600,2051,88,0,534,621,416,203,6,98,18,34,33
AT_10918,Pinkafeld,4424,1825,69,0,506,521,349,180,3,106,27,24,40
AT_10919,Rechnitz,2506,1027,38,0,232,385,252,57,4,36,4,5,14
AT_10920,Riedlingsdorf,1316,623,30,0,99,269,129,45,3,38,3,4,3
AT_10921,Rotenturm an der Pinka,1153,618,35,0,142,248,92,39,1,28,5,11,17
AT_10922,Schachendorf,584,321,14,0,136,73,50,23,0,13,2,1,9
AT_10923,Stadtschlaining,1701,694,17,0,206,251,141,34,3,18,3,6,15
AT_10924,Unterkohlstätten,850,577,28,0,199,230,68,16,0,17,1,5,13
AT_10925,Unterwart,687,321,11,0,147,85,42,17,1,10,0,1,7
AT_10926,Weiden bei Rechnitz,687,326,7,0,147,72,50,26,0,10,3,6,5
AT_10927,Wiesfleck,950,463,16,0,192,138,79,22,2,9,0,3,2
AT_10928,Wolfau,1125,466,13,0,168,143,64,34,1,25,3,5,10
AT_10929,Neustift an der Lafnitz,627,264,9,0,51,119,48,10,3,14,1,2,7
AT_10930,Jabing,639,282,15,0,83,95,54,14,1,10,1,5,4
AT_10931,Badersdorf,253,133,5,0,69,34,21,3,1,0,0,0,0
AT_10932,Schandorf,238,159,8,0,53,67,10,10,0,6,0,0,5
AT_10999,Briefwahlkarten - Oberwart,0,1990,41,0,544,600,271,268,6,159,13,36,52
AT_20101,Klagenfurt am Wörthersee,74052,26177,765,0,4298,7651,4652,4767,300,1828,291,579,1046
AT_20199,Briefwahlkarten - Klagenfurt(Stadt),0,3036,47,0,634,827,360,652,23,323,27,54,89
AT_20201,Villach,45095,16991,438,0,2191,5775,3622,2380,214,1127,178,272,794
