gisco_id,name,registered,turnout,invalid,blank,Eestimaa Ühendatud Vasakpartei,Sotsiaaldemokraatlik Erakond,Erakond Eestimaa Rohelised,Erakond Isamaa ja Res Publica Liit,Eesti Keskerakond,Eesti Konservatiivne Rahvaerakond,Eesti Reformierakond,Eesti Iseseisvuspartei,IMRE MÜRK,KRISTIINA OJULAND,KRISTA MULENOK,ROMAN UBAKIVI,TAIRA AASA,DMITRI SILBER,OLGA SÕTNIK,JEVGENI KRIŠTAFOVITŠ,LANCE GARETH EDWARD BOXALL,RENE KUULMANN,INDREK TARAND,TANEL TALVE,SVETLANA IVNITSKAJA,ANDRES INN,SILVER MEIKAR,JOERI WIERSMA
EE_0248,Jõgeva vald,3732,0,0,0,1,168,5,140,173,58,280,31,6,11,2,1,1,0,1,1,0,3,185,71,1,0,27,0
EE_0251,Jõhvi,6566,0,0,0,2,250,2,190,1132,39,465,23,1,39,4,0,0,0,4,3,0,1,181,46,0,0,9,0
EE_0270,Kaarma,3730,0,0,0,0,145,5,116,95,47,289,20,2,14,9,0,0,0,0,1,1,0,162,46,0,0,14,0
EE_0272,Kadrina,3925,0,0,0,1,162,3,207,69,39,315,12,1,17,14,0,0,2,0,1,1,1,234,62,0,0,25,0
EE_0277,Kaiu,1118,0,0,0,0,42,0,43,21,17,83,5,0,4,0,0,0,0,1,1,0,0,83,19,1,0,3,0
EE_0279,Kallaste,745,0,0,0,4,6,0,8,140,1,27,1,1,2,0,0,0,0,0,0,0,1,2,1,0,0,0,0
EE_0282,Kambja,2021,0,0,0,0,99,0,74,64,49,177,16,0,8,6,0,0,0,0,0,0,1,114,52,1,0,14,0
EE_0285,Kanepi,2021,0,0,0,0,88,3,53,56,37,147,10,10,7,2,0,0,0,0,0,0,0,95,37,0,0,9,0
EE_0288,Kareda,535,0,0,0,0,40,2,32,29,7,40,4,0,2,1,0,0,0,1,0,0,0,41,12,0,0,2,0
EE_0600,Karksi,2919,0,0,0,0,142,2,147,123,42,196,19,3,9,4,0,0,0,0,2,0,1,148,39,0,0,9,0
EE_0289,Karula,787,0,0,0,0,36,0,22,27,4,51,4,0,2,0,0,0,0,1,1,0,0,33,8,0,0,1,0
EE_0657,Kasepää,996,0,0,0,0,16,0,29,111,41,67,0,0,0,2,0,0,0,1,1,0,0,28,6,0,0,1,0
EE_0292,Kehtna,3613,0,0,0,0,188,4,204,98,49,259,28,0,17,8,1,0,0,1,1,0,3,231,87,0,0,19,0
EE_0296,Keila linn,6899,0,0,0,1,405,11,439,346,126,834,36,7,32,9,1,2,0,6,4,0,2,471,73,2,0,67,2
EE_0295,Keila vald,3165,0,0,0,0,142,4,205,129,45,359,16,1,8,8,0,0,0,1,5,1,3,210,45,0,1,13,0
