gisco_id,name,registered,turnout,invalid,blank,PiS,PJN,SLD,Ruch PL,PSL,PPP,PO,Samoobrona,NP (2011),PR (2007),MN
PL_432661102,Kołbaskowo,8032,3954,173,0,559,62,317,506,124,13,2112,0,74,14,0
PL_432661103,Nowe Warpno,1334,643,50,0,116,10,65,70,27,5,293,0,5,2,0
PL_432661104,Police,32012,15611,807,0,3462,280,1818,2093,290,70,6468,0,290,33,0
PL_432641201,Bielice,2449,877,97,0,186,11,94,75,226,8,171,0,5,4,0
PL_432641202,Kozielice,2102,721,45,0,199,9,107,65,75,4,206,0,7,4,0
PL_432641203,Lipiany,4961,1840,117,0,448,30,209,202,144,9,663,0,14,4,0
PL_432641204,Przelewice,4279,1309,104,0,224,53,205,137,83,7,487,0,6,3,0
PL_432641205,Pyrzyce,15780,6659,495,0,1371,132,791,742,732,50,2253,0,63,30,0
PL_432641206,Warnice,2814,1038,85,0,298,7,130,99,120,1,288,0,8,2,0
PL_432631301,Darłowo,11599,5355,329,0,875,63,344,735,235,39,2735,0,0,0,0
PL_432631302,Sławno,10398,4599,330,0,1025,116,408,619,217,24,1860,0,0,0,0
PL_432631303,Darłowo,6338,2496,210,0,382,27,122,286,480,11,978,0,0,0,0
PL_432631304,Malechowo,5199,1771,156,0,325,29,127,245,183,14,692,0,0,0,0
PL_432631305,Postomino,5565,1725,183,0,297,24,127,210,265,11,608,0,0,0,0
PL_432631306,Sławno,6823,2164,189,0,452,38,137,271,281,19,777,0,0,0,0
PL_432641401,Stargard Szczeciński,55566,28163,1409,0,5961,502,3291,3381,647,102,12306,0,434,130,0
PL_432641402,Chociwel,4858,1807,157,0,334,20,213,183,183,9,690,0,11,7,0
PL_432641403,Dobrzany,4062,1326,126,0,300,20,128,109,169,7,451,0,13,3,0
PL_432641404,Dolice,6349,2127,167,0,470,41,291,186,130,16,792,0,29,5,0
PL_432641405,Ińsko,3028,1028,94,0,200,10,103,74,74,4,452,0,13,4,0
PL_432641406,Kobylanka,3531,1806,80,0,389,49,253,180,66,7,747,0,26,9,0
PL_432641408,Marianowo,2505,966,129,0,184,8,79,69,254,2,229,0,9,3,0
PL_432641409,Stara Dąbrowa,2779,806,66,0,161,21,107,92,71,5,274,0,3,6,0
PL_432641410,Stargard Szczeciński,9446,3429,368,0,727,63,411,373,233,9,1209,0,24,12,0
PL_432641411,Suchań,3472,1092,116,0,201,14,135,108,157,12,325,0,21,3,0
PL_432631501,Szczecinek,32414,15902,759,0,3522,231,1425,1485,314,89,8077,0,0,0,0
PL_432631502,Barwice,7057,2108,208,0,424,28,246,205,148,25,824,0,0,0,0
PL_432631503,Biały Bór,4205,1493,158,0,269,32,139,142,185,10,558,0,0,0,0
PL_432631504,Borne Sulinowo,7631,2999,218,0,637,44,281,336,152,20,1311,0,0,0,0
