gisco_id,name,registered,turnout,invalid,blank,ΠΑ.ΣΟ.Κ.,Ν.Δ. (1974),ΛΑ.Ο.Σ.,Κ.Κ.Ε.,ΣΥ.ΡΙΖ.Α.,Ο.Π.,Κ.Ε.Κ.Α.,ΠΑ.Μ.ΜΕ.,Ο.Ε.,Ε.Ο. (1986),ΦΙ.ΣΥ.,Χ.Α.,Μ.-Λ. Κ.Κ.Ε.,ΑΝΤ.ΑΡ.ΣΥ.Α.,Ε.Κ.,Α.Σ.Κ.Ε.,Ε.Κ.Α.Δ.,Κ.Φ.,Ε.Ε.Κ.,ΕΛ.ΕΝ.,Ο.Τ.,Κ.Π.Σ.Κ.,Ο.Α.Κ.Κ.Ε.,Λ.Ε.Υ.Κ.Ο.,ΠΑ.ΝΑ.Κ,Κ.Ν.
EL_430201,Γυθείου,10743,4349,42,42,882,2290,416,178,108,111,115,20,23,22,23,31,3,12,5,2,6,2,6,1,2,4,0,0,0,3
EL_430505,Μονεμβασίας,5648,2293,37,21,693,955,218,115,62,52,42,8,12,20,14,4,5,3,3,3,7,3,2,2,1,8,0,0,0,3
EL_430300,Ελαφονήσου,1062,424,1,2,141,166,28,22,13,16,10,2,1,7,2,0,0,3,5,0,2,1,1,0,0,0,0,0,0,1
EL_430104,Μυστρά,9065,2771,34,29,842,1165,179,162,113,76,76,11,18,11,13,5,4,12,2,4,9,0,1,3,0,0,1,0,0,1
EL_430107,Φαρίδος,7774,2691,27,25,833,1112,235,139,82,60,74,15,15,14,15,12,7,4,4,3,6,2,1,3,1,0,1,0,0,1
EL_430403,Έλους,5680,3140,26,26,1136,1361,144,181,34,57,85,12,14,11,5,19,4,6,2,1,4,2,4,0,0,1,2,0,0,3
EL_430405,Νιάτων,3553,1596,16,14,451,777,78,117,38,23,31,3,4,5,8,4,6,3,4,0,6,2,3,1,0,2,0,0,0,0
EL_430504,Ζάρακα,2890,1047,16,6,254,535,78,46,27,26,10,5,8,4,6,2,4,7,3,0,1,2,4,2,0,0,1,0,0,0
EL_430105,Οινούντος,5219,1649,12,7,608,555,115,140,66,33,43,8,6,10,9,1,2,16,5,3,4,2,1,1,0,2,0,0,0,0
EL_720101,Αγίου Νικολάου,15553,9879,183,136,4386,2898,322,564,481,363,136,36,122,68,54,10,20,13,11,11,17,21,11,0,4,5,4,0,0,3
EL_720404,Λεύκης,2424,1534,21,17,966,379,33,20,16,31,14,5,10,7,3,1,1,0,3,0,1,3,0,2,0,1,0,0,0,0
EL_720300,Οροπεδίου Λασιθίου,4100,2455,25,22,1392,718,57,50,63,37,21,7,6,5,10,5,1,7,6,2,2,11,4,1,1,1,0,0,0,1
EL_720201,Ιεράπετρας,20385,12356,143,137,6633,2958,409,491,597,514,87,38,103,57,46,9,15,22,19,15,18,17,7,8,5,0,5,0,0,3
EL_720202,Μακρύ Γιαλού,4027,2516,34,26,1445,603,71,56,103,79,17,7,20,15,4,2,5,3,2,6,5,5,3,0,2,2,0,0,0,1
EL_720401,Σητείας,13576,8340,117,89,4573,2145,283,254,284,295,71,19,48,42,22,12,7,9,10,6,5,16,5,4,4,19,0,0,0,1
EL_720403,Ιτάνου,2503,1673,25,10,1036,337,48,50,44,54,15,3,15,4,7,1,3,5,1,0,4,5,1,2,0,2,1,0,0,0
EL_720103,Νεάπολης (Κρητης),5254,3158,65,46,1643,854,112,89,88,103,65,6,17,15,12,4,2,6,4,3,3,6,4,2,4,3,1,0,0,1
EL_720102,Βραχασίου,1243,770,25,10,259,258,25,55,28,26,17,37,2,3,7,2,8,0,2,1,2,0,1,0,0,0,1,0,0,1
EL_360102,Απολλωνίων,5502,2246,30,43,704,915,108,150,82,60,59,15,8,20,7,9,4,13,5,1,0,3,0,4,1,0,1,0,0,4
EL_360105,Καρυάς (Ιονιων Νησων),2128,945,12,9,355,220,41,176,69,15,11,5,1,5,2,3,6,5,1,1,0,0,1,0,3,1,3,0,0,0
EL_360200,Μεγανησίου,1899,917,20,10,406,207,23,124,45,16,10,1,2,10,3,1,2,25,1,3,0,0,4,1,0,0,1,0,0,2
EL_360103,Ελλομένου,4089,2163,32,29,635,884,116,193,84,46,65,7,7,9,12,10,3,8,1,1,0,5,6,0,1,4,1,0,0,4
EL_360106,Καστού,221,45,0,0,23,8,4,7,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EL_360107,Σφακιωτών,2705,1322,21,17,455,359,47,187,88,38,20,11,9,16,5,4,4,20,6,2,0,3,5,0,1,1,1,0,0,2
EL_360104,Καλάμου (Ιονιων Νησων),850,279,7,2,129,67,12,29,7,6,6,1,1,1,0,2,3,0,2,3,0,0,1,0,0,0,0,0,0,0
EL_360101,Λευκάδος,11249,5803,114,87,1744,1741,267,776,475,184,80,39,35,40,60,20,18,50,12,9,0,15,12,1,4,5,3,0,0,12
EL_240102,Αγριάς,5195,3121,53,39,1025,1090,235,178,167,127,38,16,38,18,15,14,1,10,10,5,9,0,2,2,2,9,5,13,0,0
EL_240301,Ζαγοράς,4673,2446,32,25,970,783,91,243,112,57,29,11,13,7,9,6,13,5,3,4,6,1,4,3,3,2,3,11,0,0
EL_240109,Πορταριάς,2774,1716,24,11,620,509,115,163,79,62,41,19,16,13,9,3,6,2,2,3,2,0,3,2,1,0,0,11,0,0
EL_240103,Αισωνίας,3698,2256,35,21,835,751,149,124,65,81,51,42,11,14,8,9,11,5,10,5,7,1,3,1,1,5,0,11,0,0
EL_240105,Ιωλκού,2433,1422,17,4,459,440,106,185,65,48,26,20,8,10,9,5,1,1,6,0,2,0,2,0,2,0,1,5,0,0
EL_240203,Πτελεού,3202,2005,26,23,691,847,106,111,56,50,11,15,9,14,6,6,2,10,5,0,4,1,2,1,1,0,0,8,0,0
EL_240201,Αλμυρού,12780,7976,119,66,2519,3465,538,487,176,203,61,53,41,31,30,25,24,16,23,7,17,9,8,4,6,4,4,40,0,0
EL_240502,Κάρλας,5799,3775,48,28,1425,1488,213,209,96,82,36,31,17,17,11,10,10,10,13,5,4,3,4,0,3,2,0,10,0,0
EL_240404,Σηπιάδος,2515,1407,21,14,519,468,87,107,60,49,19,3,10,4,3,7,2,11,3,3,5,0,3,0,1,2,1,5,0,0
EL_250200,Αλοννήσου,1751,916,11,5,393,290,40,73,27,29,9,5,6,1,7,1,2,3,1,2,2,0,2,0,0,1,1,5,0,0
EL_240503,Κεραμιδίου,1580,894,7,2,367,306,54,77,30,17,8,3,2,6,1,1,0,2,3,1,0,0,1,0,0,0,0,6,0,0
EL_250100,Σκιάθου,4848,2546,43,13,837,814,283,185,94,97,19,32,22,21,24,11,5,2,5,3,6,3,2,2,1,8,1,13,0,0
EL_240202,Ανάβρας,892,521,9,1,146,274,33,20,10,7,3,1,1,0,4,2,0,1,1,1,0,0,1,0,1,2,0,3,0,0
