gisco_id,name,registered,turnout,invalid,blank,M,C,FP,KD,S,V,MP,SD,FI,PP,OVR
SE_2260,Ånge,7698,3204,31,0,188,281,113,118,1525,245,167,372,92,39,33
SE_2284,Örnsköldsvik,43573,19910,244,0,1424,1825,945,1993,8384,1074,1837,1264,532,307,81
SE_1984,Arboga,10639,4989,70,0,571,354,410,237,1654,294,558,578,138,87,38
SE_1982,Fagersta,9529,3865,37,0,357,132,254,139,1421,329,385,570,136,81,24
SE_1961,Hallstahammar,11653,4895,68,0,386,254,389,217,1926,391,453,552,124,101,34
SE_1960,Kungsör,6272,2908,38,0,283,373,225,164,858,168,247,402,84,54,12
SE_1983,Köping,19289,8145,114,0,810,622,561,317,2855,507,806,1127,234,135,57
SE_1962,Norberg,4456,1979,36,0,136,96,91,84,679,228,214,258,82,46,29
SE_1981,Sala,17097,7645,89,0,774,1045,619,446,1984,398,913,877,295,164,41
SE_1904,Skinnskatteberg,3481,1528,29,0,111,115,122,58,545,135,138,193,47,20,15
SE_1907,Surahammar,7511,3168,40,0,208,118,213,119,1310,293,290,406,85,51,35
SE_1980,Västerås,108757,53536,574,0,7541,2676,5826,3362,14651,3061,7178,4944,2078,1239,406
SE_1440,Ale,20973,10053,132,0,1129,548,880,552,2849,695,1226,1318,406,264,54
SE_1489,Alingsås,30025,16437,180,0,1875,1072,1801,1533,3334,1027,3056,1367,819,290,83
SE_1460,Bengtsfors,7386,3127,75,0,304,368,193,214,895,158,266,448,142,36,28
SE_1443,Bollebygd,6547,3495,37,0,473,256,284,258,806,176,434,547,114,88,22
SE_1490,Borås,80436,40100,496,0,5840,2237,3241,2655,10419,2499,5572,4537,1589,824,191
SE_1438,Dals-Ed,3499,1428,32,0,127,233,90,159,288,48,96,268,50,21,16
SE_1445,Essunga,4319,2673,74,0,405,390,184,182,592,112,236,362,85,37,14
SE_1499,Falköping,24456,12455,175,0,1274,1603,704,1029,3139,577,1397,1890,393,209,65
SE_1439,Färgelanda,5063,2245,54,0,148,385,110,118,640,106,138,449,61,23,13
SE_1444,Grästorp,4486,2080,26,0,284,394,130,139,461,88,184,281,55,29,9
SE_1447,Gullspång,4054,1880,16,0,184,197,108,108,662,129,147,253,49,16,11
SE_1480,Göteborg,408828,223278,1848,0,30166,7640,25192,11336,39256,19022,40042,17182,23227,6598,1769
SE_1471,Götene,10097,5459,67,0,538,742,404,430,1517,332,627,533,172,71,26
SE_1466,Herrljunga,7242,3714,60,0,402,562,252,362,804,173,361,553,107,52,26
SE_1497,Hjo,6993,3938,75,0,557,446,330,300,975,220,440,426,110,44,15
SE_1401,Härryda,26121,15132,132,0,2497,845,1936,857,2942,735,2660,1473,666,308,81
SE_1446,Karlsborg,5552,2806,38,0,283,316,244,185,838,123,265,412,51,36,15
SE_1482,Kungälv,32662,17511,203,0,2260,1254,1955,1313,4060,887,2645,1819,707,296,112
SE_1441,Lerum,29234,16464,164,0,2447,841,2284,1163,2930,892,3034,1471,849,325,64
SE_1494,Lidköping,30520,16308,183,0,1820,1606,1260,1227,4769,993,2051,1583,498,243,75
SE_1462,Lilla Edet,9883,4284,52,0,309,332,282,191,1213,345,447,835,178,79,21
SE_1484,Lysekil,11551,5388,70,0,489,332,505,294,1627,375,740,653,202,73,28
SE_1493,Mariestad,18949,9397,147,0,1090,855,748,651,2698,577,1127,958,291,165,90
SE_1463,Mark,26070,13101,203,0,1364,1342,978,967,3750,868,1482,1442,448,180,77
SE_1461,Mellerud,6977,3030,56,0,286,504,189,237,733,146,273,464,95,32,15
SE_1430,Munkedal,7935,3464,47,0,359,415,167,222,976,223,284,611,96,44,20
