gisco_id,name,registered,turnout,invalid,blank,M,C,FP,KD,S,V,MP,JL,SD,PP,FI,ÖVR
SE_2403,Bjurholm,1962,789,4,0,97,71,113,57,240,24,26,99,9,40,8,1
SE_2425,Dorotea,2351,844,12,0,49,45,89,15,358,60,18,145,19,32,1,1
SE_2481,Lycksele,9900,3742,78,0,264,132,307,318,1277,311,133,643,49,197,28,5
SE_2418,Malå,2641,915,27,0,45,27,99,38,318,122,33,136,15,50,3,2
SE_2401,Nordmaling,5758,2387,40,0,192,247,176,119,808,145,109,358,35,124,29,5
SE_2417,Norsjö,3443,1191,10,0,45,73,82,95,414,125,35,220,14,68,6,4
SE_2409,Robertsfors,5432,2286,28,0,119,364,134,160,656,145,155,323,24,140,25,13
SE_2482,Skellefteå,56454,25605,431,0,1635,1074,1972,1265,9696,2503,1748,2870,364,1714,290,43
SE_2422,Sorsele,2182,736,12,0,48,54,42,34,225,60,42,165,9,41,3,1
SE_2421,Storuman,5058,1845,30,0,155,88,152,117,493,115,96,458,34,92,15,0
SE_2480,Umeå,87805,43554,611,0,3870,1809,4110,1738,10530,3372,6231,4745,492,4208,1525,313
SE_2462,Vilhelmina,5692,2341,40,0,83,145,126,118,804,206,85,541,46,129,17,1
SE_2404,Vindeln,4480,1723,26,0,149,179,131,137,574,72,75,255,14,100,9,2
SE_2460,Vännäs,6370,2850,25,0,169,255,216,176,805,272,210,474,40,155,39,14
SE_2463,Åsele,2502,1037,13,0,64,73,89,38,393,66,19,211,22,43,6,0
SE_2280,Härnösand,19426,8235,119,0,940,587,842,344,2570,544,896,350,178,616,245,4
SE_2282,Kramfors,15626,6141,116,0,503,609,379,212,2506,634,378,295,100,339,62,8
SE_2283,Sollefteå,16423,6316,135,0,515,412,358,200,2850,474,463,387,152,321,45,4
SE_2281,Sundsvall,74439,30897,448,0,4139,1287,3350,1225,10195,1974,2901,1331,923,2516,524,84
SE_2262,Timrå,13747,5221,81,0,401,267,373,151,2362,429,297,241,136,412,64,7
SE_2260,Ånge,8120,2833,49,0,231,212,157,91,1224,229,151,193,108,170,17,1
SE_2284,Örnsköldsvik,43627,17621,326,0,1717,1299,1379,1388,6837,852,1159,1192,268,998,195,11
SE_1984,Arboga,10464,4450,81,0,671,258,486,190,1332,310,377,325,83,283,41,13
SE_1982,Fagersta,9530,3513,71,0,401,93,349,133,1164,356,236,272,94,305,33,6
SE_1961,Hallstahammar,11345,4690,96,0,522,147,584,180,1865,432,298,138,107,283,37,1
SE_1960,Kungsör,6228,2678,58,0,385,241,339,105,736,221,178,150,82,159,20,4
SE_1983,Köping,19110,7762,161,0,928,571,805,267,2638,647,461,395,194,574,81,40
SE_1962,Norberg,4528,1815,58,0,189,84,137,48,585,214,147,104,47,152,49,1
SE_1981,Sala,16783,7407,192,0,1047,804,855,335,1976,496,590,327,187,498,90,10
SE_1904,Skinnskatteberg,3578,1296,21,0,112,76,173,40,434,132,104,81,41,57,24,1
SE_1907,Surahammar,7501,3054,57,0,284,95,309,80,1309,281,214,113,65,218,26,3
SE_1980,Västerås,102567,49482,905,0,9446,1539,8024,2070,13122,2743,4310,1647,1182,3874,592,28
SE_1480,Göteborg,387870,189939,2669,0,37054,4344,25861,7415,38303,12486,28754,3813,5973,16491,6207,569
SE_1440,Ale,20110,8538,183,0,1182,405,922,393,2493,561,818,307,398,757,92,27
SE_1489,Alingsås,28800,14153,265,0,2187,763,2129,1111,2783,893,2036,442,358,967,209,10
SE_1460,Bengtsfors,7688,2559,61,0,298,216,242,147,689,180,222,293,48,125,37,1
SE_1438,Dals-Ed,3522,1130,34,0,113,145,97,98,264,46,79,141,31,74,8,0
SE_1439,Färgelanda,5164,1987,58,0,220,364,161,80,540,91,108,123,114,105,18,5
SE_1466,Herrljunga,7181,3275,90,0,433,462,348,265,736,178,235,148,110,219,50,1
SE_1441,Lerum,27822,14132,233,0,2874,571,2552,714,2578,647,1896,391,407,940,320,9
SE_1462,Lilla Edet,9605,3624,86,0,365,228,350,130,1137,314,298,164,188,272,91,1
SE_1461,Mellerud,7234,2719,65,0,409,407,252,158,625,132,196,168,101,156,48,2
SE_1488,Trollhättan,40899,18044,341,0,2504,774,2076,592,6531,950,1683,493,436,1327,327,10
SE_1442,Vårgårda,8221,3755,91,0,446,457,451,535,750,141,360,138,117,238,29,2
SE_1487,Vänersborg,28724,12867,258,0,1901,956,1480,605,3718,817,1262,418,350,819,272,11
SE_1492,Åmål,9856,3533,65,0,497,288,375,161,1076,239,323,173,107,170,46,13
SE_1443,Bollebygd,6237,2887,64,0,573,167,334,160,642,174,283,87,141,220,37,5
SE_1490,Borås,77324,35932,778,0,6524,1440,4266,1794,9926,2031,3455,1337,1384,2634,349,14
SE_1463,Mark,25772,11491,303,0,1519,1020,1181,643,3428,670,1101,460,395,662,103,6
SE_1465,Svenljunga,7876,3120,85,0,507,379,334,149,809,114,216,149,178,150,49,1
SE_1452,Tranemo,8913,4132,83,0,617,585,408,176,1228,112,305,146,217,179,69,7
SE_1491,Ulricehamn,17568,7886,181,0,1374,944,950,511,1817,314,687,254,410,375,67,2
SE_1401,Härryda,24298,12303,227,0,2648,524,2062,535,2335,520,1554,331,323,998,235,11
SE_1482,Kungälv,30926,15171,296,0,2836,891,2063,871,3854,621,1508,502,486,1022,214,7
SE_1484,Lysekil,11649,4664,95,0,741,193,643,142,1383,256,524,178,156,284,66,3
SE_1430,Munkedal,7950,2940,66,0,401,352,241,138,780,181,230,194,106,196,54,1
