gisco_id,name,registered,turnout,invalid,blank,PPD/PSD,PS,CDS-PP,B.E.,CDU,MEP,PCTP/MRPP,PPM,POUS,PH,E,MPT,PLD
PT_160313,Penso,615,148,0,3,39,53,34,5,2,0,4,0,0,2,1,5,0
PT_160314,Prado,545,154,1,11,64,46,6,18,5,0,2,0,0,0,1,0,0
PT_160315,Remoães,153,53,0,4,15,27,4,2,0,1,0,0,0,0,0,0,0
PT_160316,Roussas,984,175,1,10,82,60,4,7,5,3,1,0,0,0,1,1,0
PT_160317,São Paio,852,152,3,4,53,71,8,8,1,0,0,0,1,1,1,1,0
PT_160318,Vila,1493,437,5,25,159,146,27,43,18,3,2,1,1,2,1,2,2
PT_160401,Abedim,323,70,2,3,37,17,2,4,1,2,0,1,0,1,0,0,0
PT_160402,Anhões,237,73,0,1,35,20,13,0,1,0,2,1,0,0,0,0,0
PT_160403,Badim,288,62,3,2,16,30,2,4,3,0,0,0,0,0,1,1,0
PT_160404,Barbeita,1168,281,1,17,93,72,23,49,9,2,3,1,2,2,2,0,5
PT_160405,Barroças E Taias,422,80,0,0,37,14,13,7,1,0,5,0,0,1,0,0,2
PT_160406,Bela,779,186,5,11,84,60,11,5,4,0,1,0,1,0,1,1,2
PT_160407,Cambeses,562,153,0,7,62,51,9,10,7,2,2,1,0,0,0,2,0
PT_160408,Ceivães,637,188,2,3,66,86,9,14,7,0,0,0,0,0,0,0,1
PT_160433,Cortes,1151,309,7,13,99,120,13,36,10,0,4,3,0,0,2,2,0
PT_160409,Lapela,258,128,0,6,50,53,12,3,0,0,0,0,1,0,0,2,1
PT_160410,Lara,355,105,0,12,49,22,11,9,1,0,0,0,0,0,0,1,0
PT_160411,Longos Vales,1284,253,4,8,81,105,30,15,2,0,2,3,1,1,0,1,0
PT_160412,Lordelo,140,83,1,1,37,28,10,2,1,0,0,0,0,0,1,1,1
PT_160413,Luzio,219,82,0,1,32,29,10,2,3,0,1,2,0,0,1,1,0
PT_160414,Mazedo,1576,407,5,19,168,71,48,50,27,4,6,1,0,3,1,3,1
PT_160415,Merufe,1467,318,2,10,139,42,97,16,5,2,2,0,0,0,1,1,1
PT_160416,Messegães,396,128,0,7,34,45,11,11,9,6,0,4,0,0,0,1,0
PT_160417,Monção,2456,697,4,32,185,260,62,102,33,8,2,1,1,1,0,4,2
PT_160418,Moreira,745,188,2,5,101,27,34,11,6,1,0,0,0,0,0,0,1
PT_160419,Parada,163,64,1,1,26,16,10,3,3,0,1,1,0,0,1,1,0
PT_160420,Pias,1016,290,4,6,153,61,23,23,6,3,5,2,0,2,0,2,0
PT_160421,Pinheiros,329,103,0,11,51,11,13,10,5,0,0,1,0,0,1,0,0
PT_160422,Podame,384,117,4,0,54,30,7,10,5,3,1,0,0,3,0,0,0
PT_160423,Portela,304,58,0,2,20,26,2,6,2,0,0,0,0,0,0,0,0
PT_160424,Riba De Mouro,1640,214,2,12,91,58,24,16,3,4,1,1,0,0,0,1,1
PT_160425,Sá,334,63,0,2,26,17,8,5,2,1,0,1,0,0,0,1,0
PT_160426,Sago,392,94,1,3,63,13,12,1,1,0,0,0,0,0,0,0,0
PT_160427,Segude,492,106,2,7,30,49,4,12,1,0,0,0,0,0,0,1,0
