gisco_id,name,registered,turnout,invalid,blank,N-VA,open vld,CD&V,SP.A,VLAAMS BELANG,GROEN,PVDA+,PS,MR,CDH,Parti Populaire,ECOLO,PTB-GO!,DEBOUT LES BELGES,FDF,LA DROITE,VEGA,MG,Stand Up USE,CSP,PRO DG,SP,VIVANT,PFF,VB
BE_55040,Soignies / Zinnik,0,17191,1250,0,0,0,0,0,0,0,0,5131,4358,1937,826,1759,768,413,366,253,71,18,41,0,0,0,0,0,0
BE_92114,Sombreffe,0,5426,391,0,0,0,0,0,0,0,0,1252,1587,636,349,644,189,123,138,70,21,5,21,0,0,0,0,0,0
BE_91120,Somme-Leuze,0,3618,308,0,0,0,0,0,0,0,0,620,1470,338,189,344,129,64,65,60,17,8,6,0,0,0,0,0,0
BE_62099,Soumagne,0,10824,613,0,0,0,0,0,0,0,0,3329,2616,1195,794,866,693,236,206,182,57,15,22,0,0,0,0,0,0
BE_63072,Spa,0,6566,603,0,0,0,0,0,0,0,0,1361,2004,535,658,688,266,132,172,94,30,9,14,0,0,0,0,0,0
BE_62100,Sprimont,0,9504,448,0,0,0,0,0,0,0,0,1987,3481,989,488,1150,407,154,188,118,70,7,17,0,0,0,0,0,0
BE_11044,Stabroek,0,12779,541,0,4521,1815,1724,1525,1444,854,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_36019,Staden,0,8097,606,0,1726,1826,2145,808,430,466,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_63073,Stavelot,0,4719,421,0,0,0,0,0,0,0,0,782,1498,648,394,543,173,93,58,72,25,5,7,0,0,0,0,0,0
BE_23081,Steenokkerzeel,0,7912,289,0,2490,2009,1169,733,459,681,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_46024,Stekene,0,12648,639,0,3913,2020,2452,1187,1132,1031,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_63075,Stoumont,0,2104,136,0,0,0,0,0,0,0,0,356,732,223,127,339,84,28,25,26,17,2,9,0,0,0,0,0,0
BE_84068,Tellin,0,1677,172,0,0,0,0,0,0,0,0,362,469,291,78,149,52,28,36,21,9,8,2,0,0,0,0,0,0
BE_46025,Temse / Tamise,0,20001,772,0,5905,3059,3695,2627,1724,1766,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_83049,Tenneville,0,1975,171,0,0,0,0,0,0,0,0,350,474,597,110,152,49,23,19,18,4,4,4,0,0,0,0,0,0
BE_23086,Ternat,0,10955,409,0,3025,2880,2040,835,648,1001,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_24104,Tervuren,0,11686,449,0,2326,3855,2026,856,347,1667,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_71057,Tessenderlo,0,13309,753,0,3775,1861,2753,2060,1011,868,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_63076,Theux,0,8144,580,0,0,0,0,0,0,0,0,1334,2797,795,863,1084,247,143,139,101,46,4,11,0,0,0,0,0,0
BE_63089,Thimister-Clermont,0,3822,187,0,0,0,0,0,0,0,0,533,1360,678,334,478,106,30,56,35,18,0,7,0,0,0,0,0,0
BE_56078,Thuin,0,9950,705,0,0,0,0,0,0,0,0,3017,2650,932,726,819,414,211,241,147,43,28,17,0,0,0,0,0,0
