gisco_id,name,registered,turnout,invalid,blank,FIDESZ-KDNP,JOBBIK,MSZP-EGYÜTT-DK-PM-MLP,LMP,ZÖLDEK PÁRTJA,SEM,KTI,MUNKÁSPÁRT,SZOCIÁLDEMOKRATÁK,FÜGGETLEN KISGAZDAPÁRT,JESZ,EGYÜTT 2014,A HAZA NEM ELADÓ MOZGALOM PÁRT,SERES MÁRIA SZÖVETSÉGESEI,ÖSSZEFOGÁS,ÚDP,MCP,ÚMP
HU_05874,Szajol,3150,1868,12,0,693,610,416,74,4,0,1,19,3,5,5,7,8,8,1,2,0,0
HU_05777,Szászberek,817,536,5,0,212,188,103,4,0,3,0,12,0,1,3,0,2,2,1,0,0,0
HU_20428,Szelevény,860,457,2,0,230,131,83,2,1,0,0,3,0,2,0,0,2,1,0,0,0,0
HU_27854,Szolnok,60417,39095,347,0,13160,9591,12195,2114,128,107,63,385,120,113,82,84,173,263,35,11,85,14
HU_10773,Tiszabő,1184,875,7,0,802,47,15,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0
HU_22770,Tiszabura,1918,1334,2,0,1065,143,89,2,1,0,1,15,14,0,1,0,0,1,0,0,0,0
HU_16230,Tiszaderzs,901,470,4,0,274,124,61,3,0,1,0,1,0,0,0,0,0,0,0,1,1,0
HU_13815,Tiszaföldvár,9032,4572,48,0,1875,1292,1043,123,9,7,1,50,9,6,2,12,70,7,4,3,8,1
HU_29726,Tiszafüred,9535,5253,39,0,2124,1373,1365,185,13,8,2,28,23,5,8,13,17,36,6,2,5,1
HU_30304,Tiszagyenda,837,467,8,0,234,95,90,13,2,0,1,9,0,1,2,1,6,2,0,1,2,0
HU_28699,Tiszaigar,648,358,4,0,225,100,23,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0
HU_20446,Tiszainoka,320,209,2,0,94,37,54,3,0,0,0,0,1,1,0,0,0,0,0,0,17,0
HU_29346,Tiszajenő,1294,744,15,0,414,185,100,15,3,1,1,2,3,2,0,0,2,1,0,0,0,0
HU_30386,Tiszakürt,1145,578,19,0,268,158,109,6,0,0,1,14,0,0,0,0,1,1,0,0,1,0
HU_15787,Tiszaörs,1090,611,8,0,349,166,60,9,1,0,1,1,1,1,1,2,1,0,0,0,2,0
HU_03373,Tiszapüspöki,1650,746,16,0,286,242,142,14,1,0,0,6,0,0,0,0,1,2,0,0,3,0
HU_20181,Tiszaroff,1352,785,14,0,382,209,132,13,0,1,1,13,3,1,2,0,4,1,1,0,2,0
HU_21494,Tiszasas,894,474,16,0,238,102,98,11,0,0,0,4,0,4,0,0,1,0,0,0,0,0
HU_17695,Tiszasüly,1317,629,9,0,306,166,125,4,4,1,1,9,0,2,0,1,0,1,0,0,0,0
HU_22789,Tiszaszentimre,1788,931,8,0,506,225,171,11,1,1,0,3,0,0,0,1,1,1,0,1,1,0
HU_09627,Tiszatenyő,1396,632,11,0,228,231,112,11,1,1,0,11,0,1,9,1,2,13,0,0,0,0
HU_31866,Tiszavárkony,1254,697,2,0,291,228,117,34,3,0,1,6,5,2,3,0,0,4,0,0,1,0
HU_09557,Tomajmonostora,587,349,6,0,220,71,44,3,0,0,0,2,0,0,0,1,1,0,1,0,0,0
HU_07490,Tószeg,3701,2231,13,0,849,744,470,79,5,7,3,24,5,4,5,2,7,8,3,1,2,0
HU_27313,Törökszentmiklós,18411,11027,138,0,4023,3907,2148,393,26,27,11,131,16,21,16,7,36,31,2,6,17,0
HU_28228,Túrkeve,7446,3692,52,0,1474,989,799,138,11,3,1,98,9,5,1,7,65,10,5,2,0,1
HU_15291,Újszász,5004,2907,34,0,1264,827,615,72,7,3,6,21,9,12,0,5,13,10,2,1,5,1
HU_21157,Vezseny,528,309,5,0,163,69,53,6,1,0,0,8,0,0,0,1,1,0,1,0,1,0
HU_14836,Zagyvarékas,2811,1450,13,0,590,533,222,25,3,2,2,15,5,4,1,1,7,17,2,1,4,0
HU_07852,Tiszaszőlős,1225,674,9,0,398,139,102,13,1,1,1,3,2,2,1,0,0,2,0,0,0,0
HU_06682,Aka,205,132,2,0,75,31,15,2,0,0,0,1,2,1,1,1,1,0,0,0,0,0
HU_32346,Almásfüzitő,1729,1117,9,0,491,234,297,47,2,3,5,5,0,5,5,4,2,5,2,0,0,1
HU_34227,Annavölgy,740,397,3,0,135,77,155,10,0,2,3,3,3,1,0,1,1,2,0,0,1,0
HU_04428,Ács,5619,2850,25,0,1595,520,502,111,8,7,3,9,5,1,13,6,32,2,7,3,0,0
HU_18139,Ácsteszér,562,287,6,0,134,76,55,6,0,1,0,3,0,0,0,1,2,0,0,2,1,0
HU_29212,Baj,2209,1400,8,0,591,296,327,112,6,6,5,4,4,5,2,4,7,1,8,0,0,0
HU_16744,Bajna,1616,1008,1,0,583,199,171,19,2,1,2,7,0,4,2,7,3,3,2,0,1,0
HU_29355,Bajót,1233,709,5,0,357,157,142,21,3,5,0,5,2,0,2,0,0,0,1,0,9,0
HU_24244,Bakonybánk,370,202,3,0,95,58,37,5,0,0,0,1,0,0,1,0,0,0,1,0,1,0
HU_25229,Bakonysárkány,753,450,1,0,254,116,52,10,3,1,2,1,2,2,1,3,1,0,0,0,0,0
HU_22381,Bakonyszombathely,1160,612,4,0,266,171,124,27,4,1,1,7,0,1,0,0,2,1,3,0,0,0
HU_31422,Bana,1311,695,5,0,327,114,198,36,2,1,0,4,1,0,1,1,1,0,1,0,2,0
HU_19363,Bábolna,2930,1661,13,0,656,274,545,122,4,6,2,4,6,2,3,3,7,6,5,1,2,0
HU_08624,Bársonyos,645,329,7,0,190,80,32,8,0,0,0,1,0,2,1,2,3,2,0,1,0,0
HU_07311,Bokod,1742,1064,7,0,504,201,259,49,0,8,2,6,4,3,2,1,12,3,0,0,1,0
HU_33109,Csatka,226,125,3,0,70,22,17,10,0,0,0,0,0,1,0,1,0,0,0,1,0,0
HU_16416,Császár,1500,838,4,0,453,163,155,48,1,3,0,0,0,0,3,2,4,1,1,0,0,0
HU_33640,Csém,351,203,2,0,98,39,55,4,0,1,0,0,0,1,1,0,2,0,0,0,0,0
HU_18272,Csép,289,159,0,0,49,32,62,4,0,1,0,5,1,0,1,1,1,0,0,0,1,0
HU_18926,Csolnok,2712,1539,18,0,586,332,410,80,10,3,3,12,2,1,2,3,6,8,3,0,0,0
HU_33163,Dad,825,560,1,0,269,146,108,24,1,0,2,4,0,0,1,0,3,1,0,0,0,0
HU_22910,Dág,773,552,0,0,285,120,89,20,2,0,0,2,0,0,1,1,4,0,4,0,0,1
HU_10490,Dorog,9996,5944,36,0,1756,1511,2121,294,14,8,19,32,18,10,9,17,23,29,18,3,8,0
HU_06594,Dömös,938,572,3,0,276,130,116,26,5,1,0,1,2,0,2,0,2,6,0,0,0,0
HU_33835,Dunaalmás,1200,749,8,0,352,146,184,39,0,1,1,4,1,0,6,1,4,1,1,0,0,0
HU_24101,Dunaszentmiklós,345,239,4,0,116,36,24,17,1,0,0,2,0,1,0,0,2,0,2,0,0,0
HU_29638,Epöl,517,349,6,0,227,61,41,6,1,0,0,4,0,0,0,1,0,1,0,0,0,1
HU_25131,Esztergom,24052,15748,107,0,6969,3018,4121,1006,53,47,28,52,36,16,50,42,58,67,32,10,12,3
HU_06664,Ete,490,332,0,0,225,58,36,5,4,1,0,2,0,0,1,0,0,0,0,0,0,0
HU_06521,Gyermely,1121,699,5,0,437,100,104,33,2,1,0,1,1,1,2,2,3,3,1,1,0,0
HU_11891,Héreg,806,443,1,0,213,82,112,16,4,0,3,2,2,1,2,2,1,1,0,0,1,0
HU_04525,Kecskéd,1655,1083,1,0,452,249,256,61,8,8,2,4,0,6,4,2,9,6,1,0,0,0
HU_10995,Kerékteleki,556,269,1,0,120,73,62,5,0,2,0,2,1,0,2,0,1,0,0,0,0,0
HU_29577,Kesztölc,2148,1294,11,0,451,327,342,91,3,5,2,5,4,7,3,4,3,7,2,1,6,0
