gisco_id,name,registered,turnout,invalid,blank,AS,A-HSP,DA,DP,HDZ,HSGO,HSU,Ilčić,L9,JD,MOST-HS-HSP,Možemo!,OIP,HB,PZŽ,PHR,PIP,RF,Republika,Ričard,Skočak,SDP,SIP,UZ-SU-BUZ-DSU,ORaH
HR_04928,Vis,1970,444,9,0,3,3,2,33,97,2,1,5,3,1,12,22,10,4,2,0,15,3,0,13,14,177,5,5,3
HR_04936,Visoko,1101,336,3,0,0,1,0,13,212,0,3,3,5,0,9,3,3,1,3,0,5,1,1,3,24,41,2,0,0
HR_04944,Viskovci,1422,240,0,0,1,0,0,33,110,0,1,0,1,0,1,3,4,0,0,0,8,1,0,2,12,61,0,2,0
HR_04952,Viskovo,14168,2042,25,0,3,0,2,123,589,2,6,21,121,2,87,115,29,2,10,2,69,14,4,34,117,649,2,7,7
HR_04979,Višnjan - Visignano,1872,356,10,0,3,1,0,9,24,0,2,3,198,0,10,12,3,0,2,0,14,1,0,6,9,49,0,0,0
HR_04987,Vižinada - Visinada,998,222,3,0,1,0,0,2,14,0,2,0,135,0,8,3,2,0,1,0,9,0,0,2,6,31,1,1,1
HR_05797,Vladislavci,1437,277,6,0,3,0,0,32,140,1,1,5,0,0,6,6,1,1,0,0,6,1,0,3,18,42,1,3,1
HR_05002,Vodice,9506,2017,32,0,4,5,3,256,858,0,2,15,24,0,110,42,38,2,4,1,85,5,1,55,40,415,8,5,7
HR_05029,Vodnjan - Dignano,5248,929,19,0,3,2,0,35,123,0,7,16,449,0,9,36,7,2,3,1,24,9,3,12,19,145,2,2,1
HR_05037,Vojnic,3290,517,12,0,6,0,0,23,206,3,4,0,103,0,12,13,3,2,1,1,12,1,1,2,10,91,6,4,1
HR_04995,Vocin,1732,313,4,0,2,0,1,14,203,1,2,2,22,0,8,3,1,0,1,0,2,0,1,0,12,33,0,1,0
HR_05843,Vođinci,1465,243,8,0,1,1,0,59,61,0,1,10,1,0,29,1,2,0,0,0,16,0,0,3,26,21,1,1,1
HR_05045,Vratisinec,1560,244,3,0,0,0,0,6,43,1,0,9,40,0,3,15,6,1,2,0,6,1,2,0,16,86,3,1,0
HR_05053,Vrbanja,3014,441,10,0,6,0,3,64,211,0,4,3,2,0,41,4,7,0,2,1,11,0,0,3,20,45,0,3,1
HR_05061,Vrbje,1770,298,6,0,4,0,0,33,172,0,3,3,1,2,7,1,6,0,0,0,11,0,0,6,13,27,3,0,0
