gisco_id,name,registered,turnout,invalid,blank,A-HSP,Fokus,OIP,SIP,DA,DP,HDZ-HSLS-HDS-HNS,HSP-HB,JD,MOST-HS-HKS,Možemo!,RF,Ričard,SD-IDS-PGS-HL,SDP-Centar-HSS-DOSIP-NS-R-GLAS,SRP,UZ-SU-BUZ,IDS-PGS-UNIJA-ISU-NS-R,SDP-Centar-HSS-DOSIP,Crnogorac,Jeckov,Milaković,Pupovac,Šimpraga,AS,DP-PIP-DHSS,HSGO,MDS,Simunić,NPS,Horvat [Franjo Horvat],Kajtazi,Kralj,Bilek,Komak,AP,NS-R-PGS-IDS-UNIJA,SD-HL,DP-PIP-DHSS-ZL,Hodžić [Armin Hodžić],Prljaskaj,Šoipi,Tabaković,DP-PIP-BLOK,HB,PHR,Rogina,HDZ,Bilo,MOST,Dussich,Radin,HSP,SHZ,Jankovics
HR_00701,Desinic,2090,1259,66,0,11,3,8,15,0,0,464,3,1,48,34,7,0,2,447,0,18,0,0,0,0,0,0,0,1,67,3,1,23,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00710,Dezanovac,1786,969,36,0,7,14,11,12,0,0,345,4,0,49,25,5,0,4,241,0,14,0,0,1,4,2,7,10,7,0,0,0,0,0,0,0,0,86,1,0,0,0,77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
HR_00728,Dicmo,2359,1637,49,0,5,4,23,9,0,183,642,44,3,490,13,5,43,0,96,0,7,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0
HR_00744,Dobrinj,2313,1229,31,0,2,13,8,7,0,51,274,15,0,57,73,17,0,0,0,1,32,179,453,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00752,Domasinec,1797,928,41,0,1,4,3,7,0,0,168,7,0,12,16,2,0,0,220,0,5,0,0,0,0,0,1,1,0,22,0,9,7,383,3,7,7,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00779,Brela,1513,970,19,0,4,0,11,2,6,110,285,13,1,158,39,8,62,8,233,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00787,Donja Dubrava,1543,896,26,0,1,1,7,6,0,0,190,1,0,19,42,3,0,0,220,0,7,0,0,0,0,0,0,0,0,23,0,3,2,340,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00795,Donja Stubica,4479,2800,62,0,4,23,38,22,0,0,658,5,0,122,128,20,0,0,1199,0,49,0,0,0,0,0,0,0,0,219,2,2,216,30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00809,Donja Voca,1896,880,52,0,1,2,7,26,0,0,254,8,0,37,28,4,0,0,321,0,20,0,0,0,0,0,0,0,0,50,1,0,4,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00817,Donji Andrijevci,2816,1437,73,0,8,7,3,21,0,224,659,13,8,109,40,5,0,4,205,0,23,0,0,0,4,0,5,4,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
