gisco_id,name,registered,turnout,invalid,blank,M,C,L,KD,S,V,MP (1981),SD,Fi,PP,SPI,ÖVR
SE_1737,Torsby,9864,7869,1,102,1888,680,271,242,3440,561,215,328,9,30,0,102
SE_1765,Årjäng,6864,5348,1,99,1281,748,389,440,1662,173,158,346,2,25,0,24
SE_2403,Bjurholm,1933,1608,1,8,425,226,129,104,578,57,31,39,1,9,0,0
SE_2425,Dorotea,2319,1870,6,33,208,171,137,48,999,174,15,53,2,5,0,19
SE_2481,Lycksele,9870,8152,1,79,1359,355,415,657,3979,697,265,294,10,23,2,16
SE_2418,Malå,2594,2140,1,28,306,73,141,89,1108,268,55,56,2,5,0,8
SE_2401,Nordmaling,5673,4710,1,30,809,497,312,254,2128,336,155,156,4,20,1,7
SE_2417,Norsjö,3391,2761,0,32,309,270,149,161,1322,341,75,64,1,16,0,21
SE_2409,Robertsfors,5413,4616,5,55,616,943,174,271,1858,337,196,109,8,32,0,12
SE_2482,Skellefteå,56689,48534,27,487,6852,2865,2750,2568,23795,4568,2780,1404,97,290,2,49
SE_2422,Sorsele,2132,1650,0,31,247,185,57,122,686,192,53,64,2,6,0,5
SE_2421,Storuman,5034,3960,1,48,711,378,214,298,1650,350,137,128,3,16,0,26
SE_2480,Umeå,87921,76504,35,710,15800,5147,4987,3620,26766,8399,7935,1747,507,731,4,116
SE_2462,Vilhelmina,5603,4714,3,58,542,313,218,284,2408,392,129,199,4,33,0,131
SE_2404,Vindeln,4421,3651,1,29,734,470,211,244,1488,211,111,117,8,14,0,13
SE_2460,Vännäs,6484,5487,1,52,993,614,286,296,2217,563,272,142,16,29,0,6
SE_2463,Åsele,2425,2021,2,15,273,192,116,109,1026,149,37,79,0,6,0,17
SE_2280,Härnösand,19479,16282,6,127,3612,1200,884,665,6491,1039,1309,650,101,127,19,52
SE_2282,Kramfors,15431,12984,7,142,2011,1268,396,440,6485,1079,595,397,59,65,0,40
SE_2283,Sollefteå,16283,13648,2,126,2097,870,468,369,7069,952,615,604,34,63,16,363
SE_2281,Sundsvall,74602,63157,23,653,16428,3211,4171,2437,23976,3767,3922,3416,192,446,258,257
SE_2262,Timrå,13720,11562,4,108,2123,628,562,328,5698,839,432,690,25,59,20,46
SE_2260,Ånge,8086,6667,5,84,1244,505,212,190,3278,453,207,386,7,44,2,50
SE_2284,Örnsköldsvik,43549,37365,18,385,7035,3503,1560,2554,17344,1513,1677,1121,73,177,305,100
SE_1984,Arboga,10407,8696,0,131,2259,496,582,387,3218,487,535,512,10,56,8,15
SE_1982,Fagersta,9422,7739,4,130,1611,258,369,281,3374,672,384,587,8,51,1,9
SE_1961,Hallstahammar,11336,9339,6,130,1881,321,558,395,4325,668,437,521,12,47,5,33
SE_1960,Kungsör,6243,5292,4,82,1420,358,362,249,1840,294,260,370,8,40,0,5
SE_1983,Köping,19025,15718,10,162,3648,998,831,608,6369,1053,792,1087,34,101,3,22
SE_1962,Norberg,4514,3798,2,67,747,172,176,108,1582,411,217,274,13,25,2,2
SE_1981,Sala,16960,14294,3,207,3706,1589,849,689,4716,676,826,896,14,107,8,8
SE_1904,Skinnskatteberg,3527,2976,4,22,512,189,229,86,1336,217,157,198,1,15,2,8
SE_1907,Surahammar,7498,6261,4,98,1196,171,349,177,3026,485,254,432,8,26,8,27
