gisco_id,name,registered,turnout,invalid,blank,Smer-SD,KDŽP,ĽSNS,KOREKTÚRA,SNS,SR,OĽaNO,STAN,SP,STS,HĽ,MKDA-MKDSZ,DOPRAVA,KDH,SZ,MH,PD,SRK,SKS,SNJ,SMK-MKP,DOMA DOBRE,KSS-VZDOR,EDS,SaS,SĽS,NAJ,KÚ,PS-Spolu,DS,NK
SK_500470,Lucnica nad Zitavou,795,135,2,0,32,2,26,0,8,5,6,2,0,0,0,0,0,10,2,2,0,0,0,0,0,0,1,0,10,0,0,1,19,1,6
SK_581097,Ludovitova,211,68,0,0,31,4,9,0,4,1,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,2,5,1,2
SK_500488,Lukáčovce,1351,287,6,0,44,7,43,6,8,19,12,1,0,0,0,0,0,61,2,1,0,0,0,0,0,0,1,0,17,0,1,46,10,1,1
SK_580899,Luzianky,2438,447,15,0,68,6,76,7,22,17,23,0,0,0,0,0,1,43,3,0,0,1,0,0,0,2,0,2,49,1,3,37,69,0,2
SK_556785,Male Chyndice,323,55,0,0,22,2,11,0,2,4,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
SK_500534,Male Zaluzie,232,66,1,0,24,1,2,0,7,1,2,1,0,1,1,0,0,0,2,0,1,0,0,0,0,1,0,0,7,0,0,2,12,0,0
SK_555908,Maly Cetin,354,113,2,0,58,0,7,1,2,3,3,0,0,0,0,0,0,8,0,1,0,0,0,0,5,0,1,1,5,0,0,2,13,1,0
SK_555851,Maly Lapas,759,208,6,0,23,2,31,1,4,11,14,0,0,0,2,0,0,7,2,0,0,0,0,1,0,1,2,1,27,1,0,36,35,0,1
SK_500569,Melek,414,93,3,0,23,2,10,0,1,4,2,2,0,0,0,0,0,13,1,1,1,1,0,0,0,0,2,0,7,0,0,11,8,0,1
SK_500577,Mojmirovce,2376,420,14,0,99,1,87,0,35,12,10,1,0,1,0,0,0,31,1,1,0,0,0,0,2,6,7,0,26,1,2,17,59,1,6
SK_500011,Nitra,65706,16420,296,0,2790,165,2101,139,624,496,717,45,46,6,15,5,31,1185,139,75,28,0,16,8,60,78,94,86,2088,49,103,696,3898,65,276
SK_556696,Nitrianske Hrnciarovce,1746,363,8,0,42,2,31,10,11,9,21,0,0,0,0,0,2,22,3,7,2,0,0,0,13,3,1,11,58,0,3,4,95,1,4
SK_500631,Nova Ves nad Zitavou,1104,185,3,0,33,4,27,0,4,1,10,1,0,0,0,1,0,20,2,1,0,0,0,0,0,1,2,3,0,28,0,6,36,0,2
SK_500640,Nove Sady,1107,193,1,0,42,4,34,0,17,5,7,0,1,0,0,0,0,9,3,1,0,0,0,0,0,3,0,0,17,1,0,11,36,1,0
SK_500666,Pana,322,60,2,0,9,0,10,0,1,5,1,2,0,0,1,0,1,1,0,3,0,0,0,0,2,0,0,0,2,0,2,1,16,1,0
SK_500674,Podhorany (okres Nitra),916,141,1,0,38,1,22,1,2,6,8,1,0,0,0,0,0,6,0,1,1,0,4,0,1,0,0,2,22,1,0,3,20,0,0
SK_500682,Pohranice,929,196,6,0,14,7,25,0,7,15,3,1,3,1,0,5,0,3,1,19,1,0,0,0,58,0,0,0,9,0,0,0,17,0,1
SK_500691,Polny Kesov,543,82,1,0,18,0,21,0,3,5,1,1,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,5,0,0,5,15,0,0
SK_500704,Risnovce,1713,334,8,0,75,6,65,2,24,4,11,0,0,0,1,0,0,39,1,0,0,0,0,0,0,3,2,1,20,0,0,20,46,2,4
SK_500712,Rumanova,688,113,2,0,32,3,12,2,14,3,6,0,3,0,0,0,0,6,1,0,2,0,0,0,0,0,3,0,2,0,0,5,16,0,1
SK_555991,Svätoplukovo,1098,174,7,0,45,1,40,1,10,2,4,0,0,0,1,0,0,13,0,0,2,0,0,0,0,0,1,0,7,1,0,7,30,1,1
SK_581691,Stefanovicova,254,52,1,0,8,0,14,0,4,3,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,3,1,1,0,11,0,1
SK_582719,Štitáre,742,198,2,0,14,3,17,3,7,7,15,1,0,0,0,0,0,3,1,14,0,1,0,0,11,3,1,8,20,1,1,8,55,1,1
SK_500780,Surianky,497,107,2,0,27,0,17,0,8,5,1,0,0,0,0,0,0,9,2,0,0,0,0,0,0,1,0,0,13,0,0,1,16,0,5
