gisco_id,name,registered,turnout,invalid,blank,"NOVA, Konzervatívni demokrati Slovenska, Občianska konzervatívna strana",Kresťanskodemokratické hnutie,SMER - sociálna demokracia,Slovenská ľudová strana,Národ a Spravodlivosť - naša strana,Magnificat Slovakia,DEMOKRATICKÁ OBČIANSKA STRANA,7 STATOČNÝCH REGIONÁLNA STRANA SLOVENSKA,Maďarská kresťanskodemokratická aliancia - Magyar Kereszténydemokrata Szövetség,Strana TIP,Ľudová strana Naše Slovensko,EURÓPSKA DEMOKRATICKÁ STRANA,NOVÝ PARLAMENT,MOST - HÍD,Kresťanská SLOVENSKÁ NÁRODNÁ STRANA,Strana demokratického Slovenska,Strana zelených,VZDOR - strana práce,OBYČAJNÍ ĽUDIA a nezávislé osobnosti,PRÁVO A SPRAVODLIVOSŤ,Sloboda a Solidarita,Strana moderného Slovenska,Komunistická strana Slovenska,ÚSVIT,Strana občianskej ľavice,Slovenská národná strana,Slovenská demokratická a kresťanská únia - Demokratická strana,"PRIAMA DEMOKRACIA, Kresťanská ľudová strana",Strana maďarskej komunity - Magyar Közösség Pártja
SK_521736,Nizna Mysla,1127,100,4,0,11,10,17,0,6,6,0,0,0,6,1,0,0,0,0,0,0,0,20,5,4,0,0,0,1,1,8,0,0
SK_521744,Nizny Caj,217,31,0,0,1,8,7,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,2,1,0
SK_521752,Nizny Klatov,631,86,0,0,5,11,30,0,0,4,0,1,0,7,0,0,0,4,2,0,0,0,4,2,7,1,2,0,0,4,1,1,0
SK_521761,Nizny Lanec,309,49,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,1,0,34
SK_521795,Nova Polhora,341,55,3,0,3,2,24,0,7,2,0,0,0,4,2,0,0,0,0,0,0,0,4,0,0,0,3,0,0,1,0,0,0
SK_521787,Novacany,560,59,2,0,19,3,13,0,0,1,0,0,0,2,0,0,1,3,1,2,0,0,5,0,2,0,0,0,0,4,1,0,0
SK_521809,Novy Salas,171,26,0,0,0,8,9,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,2,0
SK_521817,Obisovce,330,52,3,0,3,5,9,0,3,3,0,1,0,3,0,0,0,3,0,0,0,0,12,0,1,1,1,0,0,2,2,0,0
SK_521825,Olsovany,456,48,1,0,3,19,14,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,1,0,1
SK_521833,Opatka,75,19,1,0,2,2,4,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,2,0,0
SK_521841,Opina,154,22,1,0,0,2,3,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,4,2,0
SK_521850,Panovce,483,73,1,0,7,5,9,1,0,4,0,1,0,9,0,2,2,6,0,0,1,1,5,0,9,1,2,0,0,2,3,0,2
SK_521868,Peder,341,53,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,5,0,0,0,0,2,1,0,0,0,0,0,0,1,0,40
