gisco_id,name,registered,turnout,invalid,blank,PATRIOT,MySlovensko,Demokrati,MSZ,SOSK,SOS,S.sk,SNS,Republika,SĽS,SRDCE-SNJ,ĽSNS,ZR,KSS,KÚ,Smer-SD,KDH,SaS,PS,Slovensko-ZĽ,Hlas-SD,Volt,SDKÚ-DS
SK_503959,Pata,2605,790,24,0,7,0,44,0,0,0,0,19,114,0,0,6,10,3,2,257,54,30,150,10,60,0,0
SK_503967,Puste Sady,514,144,2,0,2,0,0,1,0,0,0,8,14,1,1,0,0,0,1,39,6,9,38,4,18,0,0
SK_503975,Puste Ulany,1521,528,11,0,4,0,27,2,0,0,0,12,92,0,0,1,3,0,1,146,33,30,126,3,36,0,1
SK_504009,Sered,12732,4336,75,0,13,3,209,3,0,2,2,84,678,0,4,23,44,2,25,1320,206,186,1116,85,252,3,1
SK_504017,Sladkovicovo,4405,1078,22,0,1,2,49,115,0,0,0,8,131,0,0,4,5,5,4,193,35,62,350,37,53,2,0
SK_504033,Salgocka,368,109,2,0,0,0,3,0,0,0,0,4,21,0,0,0,0,0,0,37,7,2,20,5,8,0,0
SK_504041,Sintava,1416,551,5,0,3,0,26,0,1,0,1,10,92,0,0,0,10,0,5,136,48,27,133,18,36,0,0
SK_504050,Soporna,3392,1031,24,0,5,0,27,1,0,0,1,11,175,0,0,6,5,7,9,369,35,28,197,12,119,0,0
SK_504076,Tomasikovo,1375,270,5,0,2,0,6,134,0,0,1,1,19,0,0,0,3,0,0,42,3,2,45,1,6,0,0
SK_504084,Topolnica,801,248,6,0,1,0,11,34,0,0,0,1,38,0,0,1,1,0,0,44,4,13,80,1,13,0,0
SK_504106,Trstice,3194,876,7,0,2,0,10,625,0,0,0,0,31,0,1,0,0,0,0,61,1,6,106,10,16,0,0
SK_504114,Vahovce,1742,389,10,0,2,0,15,111,1,0,0,2,48,0,0,0,5,0,0,82,1,7,80,17,8,0,0
