gisco_id,name,registered,turnout,invalid,blank,PS,PPD/PSD,CDS-PP.PPM,B.E.,PCP-PEV,MPT,NC,PAN,PNR,PCTP/MRPP,PDR,PTP-MAS,PURP,L/TDA,PPD/PSD.CDS-PP,PPV/CDC,JPP,PPM,CDS-PP,PTP
PT_010307,Moita,2277,1223,31,34,258,0,0,67,36,6,7,8,0,9,10,4,1,6,736,3,2,5,0,0
PT_010309,Sangalhos,3856,2108,33,85,405,0,0,160,108,9,6,17,12,27,20,8,2,5,1189,4,4,14,0,0
PT_010310,São Lourenço Do Bairro,2340,1270,39,43,299,0,0,89,25,2,2,4,5,7,16,6,2,7,711,3,3,7,0,0
PT_010318,"Tamengos, Aguim e Óis do Bairro",3107,1718,35,60,499,0,0,106,44,8,3,19,4,5,16,7,0,4,893,3,2,10,0,0
PT_010312,Vila Nova De Monsarros,1675,825,22,25,244,0,0,39,22,6,0,3,2,10,3,4,0,4,434,2,0,5,0,0
PT_010313,Vilarinho Do Bairro,2931,1615,39,36,211,0,0,78,19,7,6,10,3,8,17,6,1,3,1164,4,1,2,0,0
PT_010402,Alvarenga,1076,641,7,7,139,0,0,27,7,1,4,3,3,6,6,2,3,3,417,2,1,3,0,0
PT_010421,Arouca e Burgo,4700,2742,36,83,677,0,0,153,69,6,7,22,4,18,20,9,5,10,1606,6,4,7,0,0
PT_010422,Cabreiros e Albergaria da Serra,297,111,2,1,55,0,0,6,0,0,1,0,0,1,1,1,1,0,40,0,0,2,0,0
PT_010423,Canelas e Espiunca,1064,593,11,8,88,0,0,20,8,1,0,4,1,2,5,2,3,2,435,0,2,1,0,0
PT_010407,Chave,1165,744,11,15,159,0,0,57,17,4,1,6,4,9,6,1,0,0,439,1,2,12,0,0
PT_010424,Covelo de Paivó e Janarde,231,137,1,0,27,0,0,2,2,0,0,0,0,1,1,0,0,0,99,1,1,2,0,0
PT_010409,Escariz,1958,1136,18,25,203,0,0,48,14,3,2,6,8,9,13,4,1,5,769,6,1,1,0,0
PT_010411,Fermedo,1299,719,8,3,135,0,0,38,20,2,3,3,3,4,6,1,0,2,486,3,0,2,0,0
PT_010413,Mansores,1040,634,11,12,67,0,0,14,6,4,0,5,2,2,7,1,1,0,497,1,1,3,0,0
PT_010414,Moldes,1190,660,12,14,173,0,0,23,15,2,1,3,1,4,5,4,0,2,399,0,0,2,0,0
PT_010415,Rossas,1463,896,9,34,121,0,0,45,34,1,2,3,1,4,4,5,1,1,625,3,2,1,0,0
PT_010416,Santa Eulália,2020,1224,19,41,230,0,0,64,29,2,4,11,3,9,8,3,3,0,795,1,1,1,0,0
PT_010417,São Miguel Do Mato,668,347,1,0,46,0,0,7,2,0,0,2,3,2,3,0,1,1,276,0,1,2,0,0
PT_010418,Tropeço,1100,584,20,10,109,0,0,49,7,2,1,3,2,7,4,1,2,1,360,1,0,5,0,0
PT_010419,Urrô,972,560,7,15,85,0,0,24,7,1,2,4,3,6,7,4,0,1,390,0,2,2,0,0
PT_010420,Várzea,451,286,4,4,64,0,0,14,4,0,0,2,2,2,4,1,0,1,183,0,0,1,0,0
PT_010501,Aradas,8117,4463,64,161,1082,0,0,456,142,13,23,65,20,18,45,25,8,41,2272,7,4,17,0,0
PT_010502,Cacia,6313,3537,72,124,979,0,0,491,200,15,11,37,34,41,49,15,4,18,1414,4,15,14,0,0
PT_010515,Eixo e Eirol,5561,3030,57,83,773,0,0,401,123,16,14,42,16,22,54,6,4,17,1374,9,3,16,0,0
PT_010505,Esgueira,11731,6427,78,170,1982,0,0,865,403,36,21,86,43,61,111,31,13,63,2406,20,12,26,0,0
PT_010517,Glória e Vera Cruz,17426,10436,122,311,3174,0,0,1277,609,35,28,167,34,55,93,35,15,171,4259,12,8,31,0,0
PT_010508,Oliveirinha,4290,2328,51,83,411,0,0,201,57,8,10,23,9,12,25,7,3,9,1405,6,3,5,0,0
