gisco_id,name,registered,turnout,invalid,blank,PS,PPD/PSD,CDS-PP,B.E.,CH,A,L,PCP-PEV,PPM,IL,MAS,PAN,PCTP/MRPP,MPT,PDR,PNR,PTP,R.I.R.,NC,PURP,JPP
PT_010316,"Amoreira da Gândara, Paredes do Bairro e Ancas",2516,1382,36,52,336,604,117,102,20,8,7,18,1,9,0,40,11,1,3,2,1,8,2,3,1
PT_010317,Arcos e Mogofores,5681,3026,36,120,953,1054,184,281,30,28,24,105,2,38,0,103,19,6,3,5,0,20,7,6,2
PT_010304,Avelãs De Caminho,1106,555,12,13,177,216,29,44,4,9,5,10,2,6,0,13,5,1,2,1,0,5,0,1,0
PT_010305,Avelãs De Cima,1897,1018,22,37,189,567,65,49,8,6,4,17,3,9,0,19,1,2,1,2,3,7,1,5,1
PT_010307,Moita,2184,1138,23,30,334,476,53,101,11,10,7,32,4,8,0,27,3,2,1,4,3,4,1,1,3
PT_010309,Sangalhos,3648,1843,30,84,508,685,112,147,44,22,13,83,3,12,0,50,16,5,4,3,5,12,1,4,0
PT_010310,São Lourenço Do Bairro,2229,1115,23,47,324,449,48,95,9,12,9,24,2,13,0,21,7,3,5,5,1,9,1,7,1
PT_010318,"Tamengos, Aguim e Óis do Bairro",3066,1598,37,74,554,593,62,116,11,9,10,33,3,22,0,40,6,2,4,1,2,14,4,1,0
PT_010312,Vila Nova De Monsarros,1553,745,14,33,308,254,21,50,1,0,3,13,1,12,0,15,4,1,1,1,3,8,1,1,0
PT_010313,Vilarinho Do Bairro,2739,1348,35,55,261,742,92,65,7,3,2,8,3,18,0,19,4,0,3,4,2,13,2,10,0
PT_010402,Alvarenga,972,558,8,20,172,259,45,24,2,1,1,4,0,1,0,5,3,0,1,1,2,8,0,0,1
PT_010421,Arouca e Burgo,4736,2640,25,109,904,1007,155,185,10,9,18,75,8,31,0,42,8,1,6,3,3,34,2,4,1
PT_010422,Cabreiros e Albergaria da Serra,276,106,1,2,59,28,1,5,2,0,0,2,0,0,0,0,0,0,0,1,1,4,0,0,0
PT_010423,Canelas e Espiunca,1004,517,7,17,126,222,60,36,1,3,2,7,3,3,0,2,4,0,0,1,2,18,0,1,2
PT_010407,Chave,1142,726,8,16,213,260,57,64,6,8,0,22,3,5,0,22,4,2,2,2,1,23,2,6,0
PT_010424,Covelo de Paivó e Janarde,212,115,1,2,38,58,9,2,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0
PT_010409,Escariz,1890,1148,24,41,386,477,78,58,0,5,4,7,1,7,0,27,4,1,0,0,3,22,1,0,2
PT_010411,Fermedo,1202,700,6,19,200,327,54,47,1,1,1,13,1,5,0,10,3,0,0,1,0,6,3,1,1
PT_010413,Mansores,997,606,6,19,158,289,67,25,5,2,0,4,0,4,0,8,4,1,1,2,2,7,2,0,0
PT_010414,Moldes,1125,649,9,18,255,234,45,30,0,2,5,10,3,6,0,10,6,0,0,1,0,13,1,1,0
PT_010415,Rossas,1414,842,14,36,216,345,87,56,5,3,5,20,6,2,0,17,3,1,3,2,4,15,2,0,0
