gisco_id,name,registered,turnout,invalid,blank,PPD/PSD ,PS ,CDS-PP ,PCP-PEV ,P.H. ,B.E. ,PCTP/MRPP ,PPM ,MPT ,POUS ,PNR ,B.E.-UDP 
PT_130117,Gondar,1551,929,10,4,400,416,60,10,1,23,1,0,2,0,2,0
PT_130134,Gouveia (São Simão),763,373,8,0,224,88,34,3,1,4,6,0,5,0,0,0
PT_130118,Jazente,650,372,6,3,190,138,26,4,0,3,2,0,0,0,0,0
PT_130119,Lomba,883,482,2,1,222,213,22,16,1,4,1,0,0,0,0,0
PT_130120,Louredo,537,336,3,2,148,154,18,3,2,1,4,0,1,0,0,0
PT_130121,Lufrei,1619,1035,8,7,345,593,43,14,1,16,2,0,3,0,3,0
PT_130122,Madalena,1282,924,11,8,432,363,51,26,1,27,5,0,0,0,0,0
PT_130123,Mancelos,2850,1771,25,6,830,753,100,23,4,13,10,0,3,0,4,0
PT_130124,Oliveira,730,485,8,2,170,258,27,11,0,1,8,0,0,0,0,0
PT_130125,Olo,410,193,7,3,90,58,19,8,2,1,2,0,2,0,1,0
PT_130126,Padronelo,797,483,8,6,152,265,20,18,1,7,2,0,0,0,4,0
PT_130127,Real,2641,1659,18,11,611,841,101,32,1,24,8,0,6,0,6,0
