gisco_id,name,registered,turnout,invalid,blank,FIDESZ-KDNP,SZDSZ,MCF ROMA Ö.,MUNKÁSPÁRT,MSZP,JOBBIK,LMP-HP,MDF
HU_0473,Bak,1394,476,4,0,287,7,13,5,86,35,10,29
HU_1509,Baktüttös,292,64,0,0,51,2,0,0,1,7,0,3
HU_1700,Balatongyörök,923,460,1,0,285,7,1,0,78,51,10,27
HU_2646,Balatonmagyaród,438,108,4,0,64,1,1,0,20,11,1,6
HU_2744,Barlahida,137,62,1,0,40,0,0,1,3,8,0,9
HU_2486,Batyk,313,98,1,0,66,1,0,0,10,18,1,1
HU_0843,Bánokszentgyörgy,527,120,2,0,70,0,6,0,17,18,3,4
HU_1869,Bázakerettye,652,229,2,0,102,10,0,0,58,35,2,20
HU_2314,Becsehely,1824,442,4,0,244,6,19,1,40,94,8,26
HU_1836,Becsvölgye,670,185,1,0,131,1,1,1,19,16,1,14
HU_0916,Belezna,688,134,3,0,84,1,2,1,22,12,3,6
HU_2095,Belsõsárd,98,43,1,0,30,0,0,0,2,7,1,2
HU_1283,Bezeréd,134,50,1,0,44,0,0,0,1,4,0,0
HU_1754,Bocfölde,924,300,1,0,200,2,0,2,30,43,5,17
HU_3129,Bocska,294,52,0,0,30,0,4,1,6,6,0,5
HU_1078,Boncodfölde,247,104,0,0,66,1,0,0,13,13,3,8
HU_1005,Borsfa,611,153,1,0,81,4,0,2,12,34,1,18
HU_1992,Bókaháza,247,85,0,0,67,2,0,2,3,8,0,3
HU_2287,Böde,254,70,1,0,47,0,0,0,7,12,2,1
HU_0416,Bödeháza,57,35,0,0,31,0,0,0,1,1,0,2
HU_2113,Börzönce,55,20,0,0,12,3,0,0,2,1,1,1
HU_2061,Búcsúszentlászló,609,254,2,0,175,1,0,1,17,46,1,11
HU_0798,Bucsuta,183,63,0,0,49,1,0,0,5,4,3,1
HU_0613,Csapi,136,55,0,0,24,1,1,0,14,6,1,8
HU_2343,Csatár,441,157,2,0,103,1,0,1,18,23,3,6
HU_0713,Cserszegtomaj,1954,754,1,0,514,16,0,7,68,94,12,42
HU_1064,Csertalakos,23,14,0,0,7,0,0,0,3,1,0,3
HU_0258,Csesztreg,722,282,0,0,209,2,0,0,25,30,9,7
HU_3114,Csonkahegyhát,288,107,0,0,70,1,0,0,10,22,1,3
HU_2749,Csöde,74,42,0,0,29,0,0,0,9,4,0,0
HU_2936,Csömödér,535,137,3,0,87,0,0,0,10,36,0,1
HU_3397,Csörnyeföld,351,112,1,0,74,0,5,2,6,18,0,6
HU_2877,Dióskál,415,93,0,0,65,0,0,1,15,4,1,7
HU_2588,Dobri,163,59,3,0,40,0,0,0,3,8,1,4
HU_3270,Dobronhegy,137,60,1,0,40,0,0,0,4,9,1,5
HU_0778,Döbröce,58,32,0,0,28,1,0,0,2,1,0,0
HU_1600,Dötk,22,9,0,0,8,0,0,0,0,0,1,0
HU_2426,Egeraracsa,273,70,2,0,53,0,0,0,7,4,0,4
HU_3342,Egervár,846,280,0,0,197,3,1,2,28,31,6,12
HU_0617,Eszteregnye,611,147,2,0,104,1,0,0,9,15,4,12
HU_1576,Esztergályhorváti,366,95,1,0,60,1,3,2,17,7,0,4
HU_1164,Felsõpáhok,479,181,3,0,147,3,0,1,12,12,0,3
HU_2147,Felsõrajk,614,230,0,0,185,2,0,1,21,18,2,1
HU_3089,Felsõszenterzsébet,17,9,0,0,3,0,0,0,1,1,3,1
HU_1918,Fityeház,584,162,3,0,111,4,0,0,20,16,0,8
HU_1653,Füzvölgy,119,45,1,0,30,0,0,0,6,8,0,0
HU_1299,Galambok,933,299,4,0,185,4,0,1,40,51,1,13
HU_1294,Garabonc,550,169,1,0,110,4,5,1,19,21,2,6
HU_1751,Gáborjánháza,68,23,0,0,15,0,0,1,5,0,0,2
HU_0806,Gellénháza,1393,502,10,0,297,9,2,3,68,76,9,28
HU_1208,Gelse,943,192,0,0,117,14,1,0,19,22,1,18
HU_0908,Gelsesziget,226,69,0,0,50,1,0,0,7,5,1,5
HU_2003,Gétye,88,22,0,0,14,0,0,0,2,3,1,2
HU_1761,Gombosszeg,32,18,0,0,6,0,0,0,6,4,1,1
HU_1356,Gosztola,34,25,0,0,10,0,0,0,7,8,0,0
HU_2977,Gõsfa,257,124,1,0,102,2,0,1,4,10,0,4
HU_0209,Gutorfölde,966,258,2,0,170,0,1,2,28,39,5,11
HU_2330,Gyenesdiás,2750,1208,9,0,792,15,0,5,124,175,22,66
HU_1253,Gyûrûs,70,26,1,0,17,4,0,0,4,0,0,0
HU_1093,Hagyárosbörönd,247,102,2,0,80,0,0,0,10,6,0,4
HU_1026,Hahót,947,283,5,0,202,5,0,0,31,33,0,7
HU_1989,Hernyék,81,43,3,0,13,0,0,1,5,0,0,21
HU_0381,Hévíz,4461,2287,19,0,1497,48,2,11,319,255,26,110
HU_2487,Homokkomárom,171,55,1,0,40,2,0,0,0,5,3,4
HU_1120,Hosszúvölgy,154,44,1,0,26,0,0,0,4,8,1,4
HU_2832,Hottó,277,90,1,0,65,0,1,2,4,13,1,3
HU_0318,Iborfia,12,10,0,0,7,0,0,0,1,1,0,1
HU_1392,Iklódbördõce,257,91,1,0,58,1,0,1,5,18,2,5
HU_2296,Kacorlak,188,68,1,0,50,0,0,1,6,5,1,4
HU_0553,Kallósd,83,33,0,0,23,1,0,0,8,1,0,0
HU_1804,Karmacs,624,207,5,0,151,4,1,0,13,26,2,5
HU_2150,Kálócfa,136,84,0,0,76,0,0,1,1,1,1,4
HU_0447,Kányavár,124,53,1,0,36,2,0,0,7,7,0,0
HU_3206,Kávás,209,69,1,0,50,0,0,0,7,6,2,3
HU_3290,Kehidakustány,847,248,7,0,174,4,0,2,20,25,7,9
HU_2535,Kemendollár,436,144,1,0,97,1,0,5,14,13,4,9
HU_0607,Keménfa,83,27,3,0,15,0,0,1,3,5,0,0
HU_3152,Kerecseny,191,26,1,0,20,0,0,0,3,2,0,0
HU_2948,Kerkabarabás,238,66,1,0,36,0,0,2,14,8,1,4
HU_1511,Kerkafalva,94,62,1,0,42,0,0,0,8,10,0,1
HU_2208,Kerkakutas,116,50,0,0,41,0,0,0,5,3,0,1
HU_0957,Kerkaszentkirály,214,61,2,0,36,0,0,0,4,15,1,3
HU_3264,Kerkateskánd,137,56,0,0,44,0,0,0,6,6,0,0
HU_1842,Keszthely,17007,7059,27,0,4420,142,8,54,1126,846,112,324
HU_3226,Kilimán,213,41,0,0,26,2,0,0,7,4,2,0
HU_2137,Kisbucsa,366,125,1,0,88,0,0,1,15,16,3,1
HU_1624,Kiscsehi,157,66,0,0,51,1,1,0,2,9,0,2
HU_0981,Kisgörbõ,145,46,2,0,34,0,0,1,5,4,0,0
HU_2031,Kiskutas,160,89,5,0,62,2,0,0,2,11,1,6
HU_1608,Kispáli,224,87,0,0,70,0,0,0,0,11,2,4
HU_3272,Kisrécse,155,57,1,0,39,0,0,0,4,11,0,2
HU_1305,Kissziget,144,50,0,0,37,0,0,0,7,3,0,3
HU_2094,Kistolmács,142,45,1,0,17,2,0,0,7,14,0,4
HU_1636,Kisvásárhely,52,36,0,0,26,0,0,0,3,6,0,1
HU_1308,Kozmadombja,44,35,1,0,31,1,0,0,0,0,0,2
HU_1947,Kustánszeg,450,119,0,0,77,5,0,2,12,18,0,5
HU_3222,Külsõsárd,78,30,0,0,19,0,0,0,1,3,0,7
HU_3379,Lakhegy,401,138,4,0,101,0,1,0,14,7,1,10
HU_0343,Lasztonya,74,27,0,0,18,0,0,0,6,0,0,3
HU_2748,Lendvadedes,34,17,0,0,6,1,0,0,6,4,0,0
HU_1147,Lendvajakabfa,31,17,1,0,6,1,0,0,5,1,0,3
HU_1257,Lenti,7101,2687,38,0,1721,26,3,8,370,343,39,139
HU_1212,Letenye,3622,982,4,0,539,10,17,13,147,193,16,43
HU_0305,Lickóvadamos,175,56,0,0,40,1,0,0,7,4,3,1
HU_2820,Ligetfalva,54,30,0,0,19,1,0,1,2,3,1,3
HU_1088,Lispeszentadorján,260,92,3,0,57,0,0,0,29,2,0,1
