gisco_id,name,registered,turnout,invalid,blank,Arbeiderpartiet,Sosialistisk Venstreparti,Rødt,Senterpartiet,Kristelig Folkeparti,Venstre,Høyre,Fremskrittspartiet,AML,Demokratene i Norge,Kristent Samlingsparti,Kystpartiet,Miljøpartiet De Grønne,Pensjonistpartiet,ES,Det Liberale Folkepartiet,Norges Kommunistiske Parti,NRA,SAMT,Samfunnspartiet,VIGRID,NPAT,SALL,TPF
NO_0830,Nissedal,1070,851,0,0,298,28,2,84,152,15,83,182,0,1,3,0,2,1,0,0,0,0,0,0,0,0,0,0
NO_0831,Fyresdal,958,707,0,0,296,23,5,169,35,12,52,108,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0
NO_0833,Tokke,1820,1398,0,0,575,60,15,320,92,16,108,202,0,1,2,1,2,4,0,0,0,0,0,0,0,0,0,0
NO_0834,Vinje,2775,1987,0,0,705,190,18,403,114,45,147,350,0,0,4,0,4,7,0,0,0,0,0,0,0,0,0,0
NO_0901,Risør,5280,3999,0,0,1518,263,73,139,322,169,585,889,0,4,9,2,9,17,0,0,0,0,0,0,0,0,0,0
NO_0904,Grimstad,14407,10778,0,0,2867,404,44,351,1572,489,1938,3007,0,7,37,4,26,32,0,0,0,0,0,0,0,0,0,0
NO_0906,Arendal,30963,23022,0,0,8426,1029,148,582,1876,756,3688,6215,0,11,54,11,42,184,0,0,0,0,0,0,0,0,0,0
NO_0911,Gjerstad,1869,1368,0,0,504,74,6,138,122,41,158,309,0,1,2,2,5,6,0,0,0,0,0,0,0,0,0,0
NO_0912,Vegårshei,1396,1163,0,0,430,13,1,95,228,23,159,208,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0
NO_0914,Tvedestrand,4525,3374,0,0,1081,177,26,170,263,116,666,823,0,7,10,1,20,14,0,0,0,0,0,0,0,0,0,0
NO_0919,Froland,3552,2585,0,0,807,65,11,225,369,60,215,812,0,3,6,1,1,10,0,0,0,0,0,0,0,0,0,0
NO_0926,Lillesand,6918,5407,0,0,1415,312,35,138,552,250,1238,1404,0,6,13,3,27,14,0,0,0,0,0,0,0,0,0,0
NO_0928,Birkenes,3276,2485,0,0,598,72,7,181,446,50,438,666,0,5,10,1,4,7,0,0,0,0,0,0,0,0,0,0
NO_0929,Åmli,1362,1031,0,0,409,60,8,140,95,16,96,199,0,0,4,0,1,3,0,0,0,0,0,0,0,0,0,0
NO_0935,Iveland,892,694,0,0,138,9,6,74,162,14,84,204,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
NO_0937,Evje og Hornnes,2450,1853,0,0,635,47,3,109,409,25,182,421,0,1,1,2,9,9,0,0,0,0,0,0,0,0,0,0
NO_0938,Bygland,963,703,0,0,215,23,5,104,95,21,103,126,0,2,5,3,0,1,0,0,0,0,0,0,0,0,0,0
NO_0940,Valle,970,687,0,0,191,12,3,119,95,8,90,159,0,1,4,0,1,4,0,0,0,0,0,0,0,0,0,0
NO_0941,Bykle,666,474,0,0,143,28,1,44,57,16,81,96,0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0
NO_1001,Kristiansand,58336,43915,0,0,12433,2280,276,569,6313,1512,8913,10437,0,360,104,20,226,455,0,0,17,0,0,0,0,0,0,0
NO_1002,Mandal,10652,8046,0,0,2179,325,38,261,949,300,1404,2511,0,6,24,9,18,19,0,0,3,0,0,0,0,0,0,0
NO_1003,Farsund,6788,5255,0,0,1226,169,13,208,613,92,777,2094,0,5,20,8,8,16,0,0,6,0,0,0,0,0,0,0
NO_1004,Flekkefjord,6602,4945,0,0,1256,137,17,279,679,230,821,1472,0,7,17,6,8,15,0,0,1,0,0,0,0,0,0,0
NO_1014,Vennesla,9429,7224,0,0,2085,147,20,276,1617,100,764,2054,0,31,56,15,16,41,0,0,2,0,0,0,0,0,0,0
NO_1017,Songdalen,4100,3068,0,0,799,86,8,232,464,66,398,954,0,30,14,1,5,11,0,0,0,0,0,0,0,0,0,0
NO_1018,Søgne,7353,5644,0,0,1425,215,27,145,694,207,1171,1677,0,7,23,7,12,34,0,0,0,0,0,0,0,0,0,0
NO_1021,Marnardal,1563,1199,0,0,337,26,2,220,147,43,133,275,0,2,5,0,4,4,0,0,1,0,0,0,0,0,0,0
NO_1026,Åseral,620,473,0,0,101,12,0,73,109,7,43,120,0,1,4,1,0,2,0,0,0,0,0,0,0,0,0,0
NO_1027,Audnedal,1171,957,0,0,162,9,3,142,303,10,81,235,0,1,9,1,0,1,0,0,0,0,0,0,0,0,0,0
NO_1029,Lindesnes,3308,2555,0,0,514,57,5,165,446,85,443,807,0,6,11,2,8,5,0,0,1,0,0,0,0,0,0,0
NO_1032,Lyngdal,5261,4107,0,0,707,90,4,199,1016,102,719,1243,0,2,9,4,4,7,0,0,1,0,0,0,0,0,0,0
NO_1034,Hægebostad,1159,929,0,0,133,8,0,114,283,9,98,271,0,0,6,0,2,5,0,0,0,0,0,0,0,0,0,0
NO_1037,Kvinesdal,4130,3069,0,0,889,54,10,255,495,66,337,932,0,3,13,3,3,7,0,0,2,0,0,0,0,0,0,0
NO_1046,Sirdal,1282,992,0,0,204,32,4,158,209,47,112,214,0,0,2,1,8,1,0,0,0,0,0,0,0,0,0,0
