gisco_id,name,registered,turnout,invalid,blank,CDU,SPD,GRÜNE,CSU,DIE LINKE,FDP,REP,Die Tierschutzpartei,FAMILIE,ödp,DIE FRAUEN,Volksabstimmung,PBC,CM,AUFBRUCH,DKP,BP,PSG,BüSo,50Plus,AUF,DVU,DIE GRAUEN,DIE VIOLETTEN,EDE,FBI,FÜR VOLKSENTSCHEIDE,FW FREIE WÄHLER,Newropeans,PIRATEN,RRP,RENTNER
DE_07340023,Höheischweiler,731,262,28,0,49,93,10,0,18,30,8,4,3,0,2,1,2,0,1,1,0,0,0,0,0,1,1,0,1,0,0,4,0,2,2,1
DE_07340024,Höhfröschen,751,344,25,0,111,81,26,0,21,30,12,5,3,0,0,2,3,0,0,0,0,0,0,0,2,0,1,1,0,0,0,13,1,5,2,0
DE_07340025,Horbach,443,247,26,0,85,34,22,0,15,21,7,3,7,0,4,0,9,2,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,1,0,1
DE_07340026,Kröppen,634,257,23,0,89,58,14,0,13,19,20,7,1,1,2,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,3,0,0,0,1
DE_07340027,Leimen,801,162,21,0,65,23,8,0,10,11,12,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,3,0,0,0,2
DE_07340028,Lemberg,3316,1243,67,0,364,414,76,0,56,114,46,21,12,2,6,1,0,0,2,2,0,2,0,5,1,3,3,2,1,0,1,14,0,11,7,10
DE_07340029,Ludwigswinkel,634,100,7,0,19,42,4,0,4,6,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,3
DE_07340030,Lug,541,240,15,0,97,36,17,0,8,28,5,7,7,1,2,1,0,0,1,0,1,0,0,2,0,0,2,1,0,0,0,2,0,3,0,4
DE_07340031,Merzalben,1044,291,23,0,86,82,17,0,20,23,15,11,3,1,1,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2
DE_07340032,Münchweiler an der Rodalb,2386,813,78,0,372,133,32,0,17,61,34,15,10,1,3,1,0,1,2,1,1,1,0,0,1,1,5,2,0,0,1,20,0,8,6,6
DE_07340033,Niederschlettenbach,265,134,26,0,47,21,7,0,2,8,6,3,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,3
DE_07340034,Nothweiler,138,81,9,0,24,21,2,0,7,11,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
DE_07340035,Nünschweiler,662,303,24,0,97,95,13,0,10,34,9,6,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,7,0,1,1,2
DE_07340036,Obersimten,559,280,10,0,118,54,18,0,8,33,16,8,4,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,2,1
DE_07340037,Petersberg,734,331,30,0,156,45,16,0,12,33,7,5,3,0,2,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,8,0,5,0,5
DE_07340038,Rodalben,5951,3777,219,0,1659,614,208,0,149,358,128,91,57,13,18,21,7,7,3,1,1,0,1,16,5,9,9,9,1,5,11,38,3,28,33,55
DE_07340039,Rumbach,391,129,10,0,39,35,6,0,7,15,3,3,3,0,1,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,2
DE_07340040,Ruppertsweiler,1217,408,23,0,129,98,22,0,28,47,15,7,2,0,0,2,1,1,0,1,0,0,1,2,0,1,3,0,1,0,1,14,1,3,1,4
DE_07340041,Saalstadt,281,171,4,0,66,38,2,0,8,34,3,2,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,5,0,1,0,2
DE_07340042,Schauerberg,164,82,2,0,34,17,1,0,1,7,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,2
DE_07340043,Schindhard,487,199,18,0,80,46,7,0,8,14,5,2,2,0,1,0,0,2,0,0,0,0,0,2,0,3,0,0,0,0,1,3,0,2,2,1
DE_07340044,Schmalenberg,634,340,27,0,73,119,26,0,15,29,7,9,11,0,2,0,4,1,0,0,0,0,0,0,2,2,0,0,0,1,0,10,0,1,1,0
DE_07340045,Schönau (Pfalz),376,168,15,0,60,47,7,0,6,14,3,2,3,0,1,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0,1,0,0
DE_07340047,Schwanheim,504,202,23,0,81,38,12,0,9,17,4,4,3,0,0,0,1,2,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,2,1
DE_07340048,Schweix,286,160,17,0,61,38,3,0,11,10,6,4,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,1,1,2
DE_07340049,Spirkelbach,557,241,15,0,43,103,31,0,10,15,9,1,5,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,2
DE_07340050,Steinalben,360,188,16,0,78,34,11,0,9,14,5,1,2,0,0,2,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,1,2,2
DE_07340051,Thaleischweiler-Fröschen,2797,1109,73,0,340,357,61,0,46,102,40,20,11,1,3,6,2,1,1,0,1,0,1,1,1,2,3,0,0,0,0,16,0,7,4,9
DE_07340052,Trulben,1082,550,52,0,241,103,32,0,23,36,19,7,4,0,1,1,4,0,0,0,0,0,0,2,0,0,2,0,0,0,0,10,1,3,5,4
