gisco_id,name,registered,turnout,invalid,blank,UG,DIV,EXG,ENS,RN,LR,ECO,DVD,REC,UXD,DSV,EXD,DVG,UDI,REG,DVC,HOR,COM,SOC,VEC,FI,RDG
FR_56215,Saint-Gonnery,850,628,7,6,79,0,3,138,278,0,4,95,0,0,9,0,0,0,9,0,0,0,0,0,0,0
FR_56216,Saint-Gorgon,295,198,2,3,31,0,0,31,58,0,0,0,0,0,2,0,0,0,71,0,0,0,0,0,0,0
FR_56218,Saint-Gravé,581,435,2,6,88,0,2,54,149,0,2,0,0,0,5,0,0,0,127,0,0,0,0,0,0,0
FR_56219,Saint-Guyomard,1084,833,5,14,109,0,5,110,303,0,7,0,0,0,6,0,0,0,274,0,0,0,0,0,0,0
FR_56220,Sainte-Hélène,1078,837,6,15,220,0,4,217,275,0,0,79,0,0,0,0,0,0,21,0,0,0,0,0,0,0
FR_56221,Saint-Jacut-les-Pins,1340,982,6,14,148,0,7,141,317,0,11,0,0,0,6,0,0,0,332,0,0,0,0,0,0,0
FR_56222,Saint-Jean-Brévelay,2337,1615,13,36,267,0,21,437,641,0,25,130,0,0,21,0,0,0,24,0,0,0,0,0,0,0
FR_56223,Saint-Jean-la-Poterie,1271,903,6,11,230,0,8,115,251,0,11,0,0,0,13,0,0,0,258,0,0,0,0,0,0,0
FR_56224,Saint-Laurent-sur-Oust,310,221,0,3,27,0,0,27,72,0,1,0,0,0,3,0,0,0,88,0,0,0,0,0,0,0
FR_56225,Saint-Léry,163,128,0,0,24,0,0,22,33,0,0,0,0,0,2,0,0,0,47,0,0,0,0,0,0,0
FR_56226,Saint-Malo-de-Beignon,411,303,1,8,39,0,1,29,131,0,3,0,0,0,7,0,0,0,84,0,0,0,0,0,0,0
FR_56227,Saint-Malo-des-Trois-Fontaines,401,267,0,1,19,0,0,24,102,0,5,0,0,0,3,0,0,0,113,0,0,0,0,0,0,0
FR_56228,Saint-Marcel,957,685,3,10,76,0,5,164,163,0,3,0,0,0,6,0,0,0,255,0,0,0,0,0,0,0
FR_56229,Saint-Martin,1059,800,3,4,113,0,3,107,225,0,7,0,0,0,8,0,0,0,330,0,0,0,0,0,0,0
FR_56230,Saint-Nicolas-du-Tertre,382,300,2,3,38,0,2,39,101,0,3,0,0,0,4,0,0,0,108,0,0,0,0,0,0,0
FR_56231,Saint-Nolff,3483,2575,8,38,786,0,16,630,697,0,39,292,0,0,30,0,0,0,39,0,0,0,0,0,0,0
FR_56232,Saint-Perreux,931,709,4,10,133,0,13,97,161,0,4,0,0,0,9,0,0,0,278,0,0,0,0,0,0,0
FR_56233,Saint-Philibert,1488,1224,9,10,199,0,7,519,334,0,0,121,0,0,0,0,0,0,25,0,0,0,0,0,0,0
FR_56234,Saint-Pierre-Quiberon,2482,1889,10,27,361,0,17,688,591,0,0,163,0,0,0,0,0,0,32,0,0,0,0,0,0,0
FR_56236,Saint-Servant,685,507,2,4,64,0,2,58,160,0,2,0,0,0,6,0,0,0,209,0,0,0,0,0,0,0
FR_56237,Saint-Thuriau,1574,1142,6,32,201,0,14,334,348,0,20,164,0,0,14,0,0,0,9,0,0,0,0,0,0,0
FR_56238,Saint-Tugdual,266,199,0,2,35,0,9,49,89,0,0,11,0,0,4,0,0,0,0,0,0,0,0,0,0,0
FR_56239,Saint-Vincent-sur-Oust,1276,911,3,8,163,0,6,132,243,0,9,0,0,0,10,0,0,0,337,0,0,0,0,0,0,0
FR_56240,Sarzeau,8521,6649,33,90,1529,14,25,2945,1785,0,0,0,0,0,0,0,122,0,106,0,0,0,0,0,0,0
FR_56241,Sauzon,845,603,1,7,195,0,3,214,134,0,0,41,0,0,0,0,0,0,8,0,0,0,0,0,0,0
FR_56242,Séglien,529,390,1,7,86,0,7,118,146,0,0,21,0,0,4,0,0,0,0,0,0,0,0,0,0,0
