gisco_id,name,registered,turnout,blank,invalid,A,B,C,D,F,K,M,O,V,Ø,Ind.
DK_219,Hillerød,26880,23360,123,52,4941,2994,2701,275,1557,638,49,2495,6689,846,0
DK_221,Hundested,7507,6284,33,9,1648,548,378,73,431,71,17,1105,1699,272,0
DK_223,Hørsholm,17763,15785,43,30,1632,1750,3602,136,349,136,18,1567,6329,193,0
DK_225,Jægerspris,7099,6029,45,13,1556,509,420,51,412,33,9,1040,1689,252,0
DK_227,Karlebo,12951,11111,61,21,2000,1324,1396,137,560,110,27,1548,3610,317,0
DK_229,Skibby,5186,4428,31,9,928,361,343,47,212,35,15,818,1502,127,0
DK_231,Skævinge,4295,3759,25,9,645,252,663,34,174,66,7,525,1290,69,0
DK_233,Slangerup,6547,5860,28,17,1063,489,567,64,270,47,12,872,2309,122,0
DK_235,Stenløse,9650,8745,47,19,1585,919,1050,125,452,75,18,1198,2999,258,0
DK_237,Ølstykke,10845,9602,52,15,2062,817,1000,98,384,76,22,1538,3337,201,0
DK_251,Bramsnæs,7015,6209,49,11,1214,513,446,81,284,54,18,1005,2365,169,0
DK_253,Greve,34074,29433,156,49,6087,2088,2850,301,1176,267,54,5545,10369,491,0
DK_255,Gundsø,11242,10148,50,27,1954,859,1229,110,448,105,13,1558,3585,210,0
DK_257,Hvalsø,5643,5072,29,14,1309,485,405,47,332,49,10,642,1538,212,0
DK_259,Køge,29336,24896,161,76,6890,1858,2002,264,1319,188,59,4226,7128,725,0
DK_261,Lejre,6443,5858,34,9,1118,671,524,54,310,98,14,608,2226,192,0
DK_263,Ramsø,6713,6062,38,10,1376,527,539,63,305,67,6,778,2205,148,0
DK_265,Roskilde,40628,34951,232,75,8351,4187,3436,374,3024,413,112,4101,9060,1586,0
DK_267,Skovbo,10762,9499,71,18,1912,690,982,110,430,105,16,1646,3328,191,0
DK_269,Solrød,15023,13109,50,25,2499,930,1341,150,579,100,23,2078,5077,257,0
DK_271,Vallø,7870,6781,32,18,1403,460,582,84,321,65,9,1224,2411,172,0
DK_301,Bjergsted,6080,5012,27,17,1308,448,275,43,348,45,16,905,1422,156,2
DK_303,Dianalund,5526,4573,33,14,1109,290,438,48,227,146,17,794,1360,95,2
DK_305,Dragsholm,10459,8794,56,21,2176,709,703,92,634,69,20,1288,2795,228,3
DK_307,Fuglebjerg,4827,3998,25,11,908,268,358,53,203,50,15,657,1338,110,2
DK_309,Gørlev,5041,4288,33,18,1096,277,253,18,190,39,14,764,1487,98,1
DK_311,Hashøj,4919,4206,26,5,890,241,319,34,226,31,9,715,1620,90,0
DK_313,Haslev,10977,9331,66,17,2192,747,844,123,569,120,18,1310,3105,218,2
DK_315,Holbæk,25994,21806,140,57,5500,2422,2366,304,1492,239,46,2628,5905,707,0
DK_317,Hvidebæk,4090,3464,24,8,901,202,261,24,184,31,6,579,1192,51,1
DK_319,Høng,6184,5263,42,8,1242,335,395,57,334,42,12,885,1764,144,3
DK_321,Jernløse,4374,3752,28,5,933,301,325,35,202,36,3,520,1258,105,1
DK_323,Kalundborg,15376,12761,76,28,3754,828,866,132,838,111,24,1971,3904,226,3
DK_325,Korsør,15610,12835,73,25,4123,592,828,89,907,101,26,2553,3237,278,3
DK_327,Nykøbing-Rørvig,6072,5040,37,16,1488,380,449,62,321,43,12,700,1350,181,1
DK_329,Ringsted,22591,19247,109,51,4822,1528,1585,196,1273,166,54,3225,5777,458,3
DK_331,Skælskør,9020,7541,50,27,1631,500,621,74,516,69,16,1348,2469,216,4
DK_333,Slagelse,27402,22136,149,34,5713,1422,1966,224,1266,227,47,3672,6881,532,3
DK_335,Sorø,11562,9905,62,20,2359,937,928,103,626,143,20,1170,3267,264,6
DK_337,Stenlille,4142,3521,24,4,813,235,276,45,197,51,7,575,1180,111,3
DK_339,Svinninge,4852,4133,29,10,1066,324,341,45,232,21,8,649,1328,79,1
DK_341,Tornved,6632,5518,39,6,1461,431,421,53,313,66,15,781,1770,160,2
DK_343,Trundholm,8846,7311,32,12,1749,624,532,60,450,50,25,1250,2237,289,1
DK_345,Tølløse,7098,6161,53,12,1436,582,469,90,385,88,13,862,1961,209,1
DK_351,Fakse,9313,7844,72,12,2123,453,878,90,397,67,18,1203,2260,269,2
DK_353,Fladså,5616,4801,34,6,1007,307,490,48,222,55,12,669,1834,116,1
DK_355,Holeby,3133,2639,15,8,893,134,133,19,116,10,6,450,785,67,3
DK_357,Holmegaard,5452,4725,32,14,1416,278,592,61,197,50,8,646,1369,62,0
DK_359,Højreby,3099,2553,26,11,854,143,159,25,132,20,9,425,669,78,2
DK_361,Langebæk,4763,4145,26,13,1114,280,390,48,263,27,9,667,1188,119,1
