gisco_id,name,registered,turnout,invalid,blank,ΔΗΜΟΚΡΑΤΙΚΟΣ ΣΥΝΑΓΕΡΜΟΣ (ΔΗ.ΣΥ),ΑΚΕΛ-ΑΡΙΣΤΕΡΑ-ΝΕΕΣ ΔΥΝΑΜΕΙΣ,ΔΗΜΟΚΡΑΤΙΚΟ ΚΟΜΜΑ (ΔΗ.ΚΟ),ΕΥΡΩΠΑΪΚΟ ΚΟΜΜΑ (ΕΥΡΩ.ΚΟ),ΕΔΕΚ ΚΙΝΗΜΑ ΣΟΣΙΑΛΔΗΜΟΚΡΑΤΩΝ,ΚΙΝΗΜΑ ΕΛΕΥΘΕΡΟΙ ΠΟΛΙΤΕΣ,ΚΙΝΗΜΑ ΟΙΚΟΛΟΓΩΝ ΠΕΡΙΒΑΛΛΟΝΤΙΣΤΩΝ,ΕΝΩΜΕΝΟΙ ΔΗΜΟΚΡΑΤΕΣ (Ε.ΔΗ),ΕΥΡΩΠΑΪΚΗ ΔΗΜΟΚΡΑΤΙΑ,ΠΟΛΙΤΙΚΟ ΚΙΝΗΜΑ ΚΥΝΗΓΩΝ,ΛΑΪΚΟ ΣΟΣΙΑΛΙΣΤΙΚΟ ΚΙΝΗΜΑ,ΚΩΣΤΑ ΧΡΙΣΤΑΚΗΣ,ΚΩΝΣΤΑΝΤΙΝΟΥ ΑΝΔΡΕΑΣ,ΜΙΧΑΗΛ ΑΝΑΣΤΑΣΗΣ,ΚΥΡΙΑΚΟΥ (ΟΥΤΟΠΟΣ) ΚΩΣΤΑΣ,ΕΥΣΤΡΑΤΙΟΥ ΑΝΔΡΕΑΣ,ΚΩΝΣΤΑΝΤΙΝΟΥ ΜΑΡΙΟΣ
CY_4012,Dromolaxia,4153,3728,128,101,904,1714,448,107,202,22,26,31,7,14,23,0,0,0,0,0,1
CY_4013,Meneou,846,783,39,31,202,310,75,20,63,5,18,6,5,4,5,0,0,0,0,0,0
CY_4100,Kellia,233,215,7,5,76,73,16,24,9,1,2,1,0,1,0,0,0,0,0,0,0
CY_4101,Troulloi,776,728,21,13,420,64,134,22,38,8,1,2,3,2,0,0,0,0,0,0,0
CY_4102,Bορόκληνη(Ορόκληνη),1689,1533,47,42,608,553,97,47,83,5,18,18,1,6,8,0,0,0,0,0,0
CY_4103,Αβδελλερό,70,68,2,1,28,14,14,1,6,0,0,1,0,0,1,0,0,0,0,0,0
CY_4104,Πύλα,826,742,10,24,258,298,72,10,37,4,7,8,3,5,6,0,0,0,0,0,0
CY_4105,Ξυλοτύμβου,2567,2388,46,50,1091,624,270,97,138,27,26,2,6,5,5,0,0,1,0,0,0
CY_4106,Ormideia,3191,2967,68,79,1084,1311,204,65,81,36,12,11,5,7,2,0,0,2,0,0,0
CY_4107,Ξυλοφάγου,3719,3507,193,171,1658,929,200,83,157,38,29,22,5,19,2,0,0,1,0,0,0
CY_4110,Kiti,2176,1969,61,31,368,1156,115,48,138,5,12,16,4,8,5,0,0,1,0,0,1
CY_4111,Περιβόλια Λάρνακας,1339,1231,29,22,202,841,39,19,52,7,5,7,2,2,4,0,0,0,0,0,0
CY_4112,Τερσεφάνου,713,658,12,12,179,358,36,14,19,15,3,5,3,2,0,0,0,0,0,0,0
CY_4120,Mazotos,498,426,6,7,176,156,34,14,26,2,1,1,2,1,0,0,0,0,0,0,0
