country_code,parliament_name,election_date,round,vote_type,file_path
DK,Folketing,2022-11-01,,,elections/DK/2022_11.csv
EE,Riigikogu,2023-03-05,,,elections/EE/2023_03.csv
BG,Народно събрание,2023-04-02,,,elections/BG/2023_04.csv
FI,Eduskunta,2023-04-02,,,elections/FI/2023_04.csv
EL,Βουλή των Ελλήνων,2023-05-21,,,elections/EL/2023_05.csv
EL,Βουλή των Ελλήνων,2023-06-25,,,elections/EL/2023_06.csv
ES,Congreso de los Diputados,2023-07-23,,,elections/ES/2023_07.csv
SK,Národná rada,2023-09-30,,,elections/SK/2023_09.csv
LU,Chambre des Députés,2023-10-08,,,elections/LU/2023_10.csv
PL,Sejm,2023-10-15,,,elections/PL/2023_10.csv
CH,Nationalrat,2023-10-22,,,elections/CH/2023_10.csv
NL,Tweede Kamer,2023-11-22,,,elections/NL/2023_11.csv
PT,Assembleia da República,2024-03-10,,,elections/PT/2024_03.csv
HR,Hrvatski sabor,2024-04-17,,,elections/HR/2024_04.csv
AT,European Parliament,2024-06-09,,,elections/AT/EU_2024_06.csv
BE,Chambre des Représentants,2024-06-09,,,elections/BE/2024_06.csv
BE,European Parliament,2024-06-09,,,elections/BE/EU_2024_06.csv
BG,Народно събрание,2024-06-09,,,elections/BG/2024_06.csv
BG,European Parliament,2024-06-09,,,elections/BG/EU_2024_06.csv
CY,European Parliament,2024-06-09,,,elections/CY/EU_2024_06.csv
CZ,European Parliament,2024-06-09,,,elections/CZ/EU_2024_06.csv
DE,European Parliament,2024-06-09,,,elections/DE/EU_2024_06.csv
DK,European Parliament,2024-06-09,,,elections/DK/EU_2024_06.csv
EE,European Parliament,2024-06-09,,,elections/EE/EU_2024_06.csv
EL,European Parliament,2024-06-09,,,elections/EL/EU_2024_06.csv
ES,European Parliament,2024-06-09,,,elections/ES/EU_2024_06.csv
FI,European Parliament,2024-06-09,,,elections/FI/EU_2024_06.csv
FR,European Parliament,2024-06-09,,,elections/FR/EU_2024_06.csv
HR,European Parliament,2024-06-09,,,elections/HR/EU_2024_06.csv
HU,European Parliament,2024-06-09,,,elections/HU/EU_2024_06.csv
IE,European Parliament,2024-06-09,,,elections/IE/EU_2024_06.csv
IT,European Parliament,2024-06-09,,,elections/IT/EU_2024_06.csv
LT,European Parliament,2024-06-09,,,elections/LT/EU_2024_06.csv
LU,European Parliament,2024-06-09,,,elections/LU/EU_2024_06.csv
LV,European Parliament,2024-06-09,,,elections/LV/EU_2024_06.csv
MT,European Parliament,2024-06-09,,,elections/MT/EU_2024_06.csv
NL,European Parliament,2024-06-09,,,elections/NL/EU_2024_06.csv
PL,European Parliament,2024-06-09,,,elections/PL/EU_2024_06.csv
PT,European Parliament,2024-06-09,,,elections/PT/EU_2024_06.csv
SE,European Parliament,2024-06-09,,,elections/SE/EU_2024_06.csv
SI,European Parliament,2024-06-09,,,elections/SI/EU_2024_06.csv
SK,European Parliament,2024-06-09,,,elections/SK/EU_2024_06.csv
FR,Assemblée nationale,2024-06-30,1.0,,elections/FR/2024_06_1.csv
FR,Assemblée nationale,2024-07-07,2.0,,elections/FR/2024_07_2.csv
AT,Nationalrat,2024-09-29,,,elections/AT/2024_09.csv
LT,Seimas,2024-10-13,,,elections/LT/2024_10.csv
BG,Народно събрание,2024-10-27,,,elections/BG/2024_10.csv
IE,Dáil Éireann,2024-11-29,,,elections/IE/2024_11.csv
IS,Alþingi,2024-11-30,,,elections/IS/2024_11.csv
RO,Camera Deputaților,2024-12-01,,,elections/RO/2024_12.csv
LI,Landtag,2025-02-09,,,elections/LI/2025_02.csv
DE,Bundestag,2025-02-23,,Erststimme,elections/DE/2025_02_Erststimme.csv
DE,Bundestag,2025-02-23,,Zweitstimme,elections/DE/2025_02_Zweitstimme.csv
PT,Assembleia da República,2025-05-18,,,elections/PT/2025_05.csv
NO,Storting,2025-09-08,,,elections/NO/2025_09.csv
CZ,Poslanecká sněmovna,2025-10-04,,,elections/CZ/2025_10.csv
NL,Tweede Kamer,2025-10-29,,,elections/NL/2025_10.csv
RO,European Parliament,,,,elections/RO/EU_2009.csv
RO,European Parliament,,,,elections/RO/EU_2014.csv
RO,European Parliament,,,,elections/RO/EU_2019.csv
RO,European Parliament,,,,elections/RO/EU_2024.csv
