gisco_id,name,registered,turnout,invalid,blank,Changement citoyen,Décidons nous-mêmes,REC,LFI,RN,LÉ,Free Palestine,PA,Communistes,ENS,PACE,Équinoxe,Écologie positive,UPR,Paix et Décroissance,LR,LO,ND-AE,RS,NPA-R,PT,LP-VIA,Rester libre,Les Nationalistes,PS-PP,ANC,Résistons,France Libre,ETÉ,La Ruche citoyenne,PCF,Défendre les enfants,ÉAC,Démocratie représentative,EDE,LDF
FR_74114,Essert-Romand,357,210,4,1,0,0,17,12,68,6,0,0,0,32,0,0,2,1,0,19,1,1,0,2,0,3,0,0,25,0,3,0,0,0,3,0,7,0,0,0
FR_80285,Essertaux,199,122,2,4,0,0,6,14,33,6,0,0,0,18,0,0,1,0,0,8,2,0,0,0,0,0,0,0,10,0,10,0,0,0,3,0,1,0,0,0
FR_71191,Essertenne,370,226,1,3,0,0,11,7,89,7,0,0,0,39,0,2,0,0,0,10,1,0,0,0,0,2,0,0,30,0,4,0,2,0,13,0,2,0,0,0
FR_70220,Essertenne-et-Cecey,312,202,3,4,0,0,13,5,103,5,0,0,0,16,0,0,0,8,0,5,2,0,0,0,0,0,0,0,21,0,5,0,0,1,6,0,2,0,0,0
FR_42089,Essertines-en-Châtelneuf,561,363,6,3,0,0,19,21,106,36,0,0,0,60,0,3,1,1,0,34,2,0,1,0,0,0,0,0,51,0,5,0,1,0,3,0,5,0,1,0
FR_42090,Essertines-en-Donzy,391,202,4,4,0,0,8,7,83,10,0,0,0,18,0,0,0,4,0,18,0,0,0,0,0,2,0,0,20,0,10,0,0,0,7,0,3,0,0,0
FR_73110,Esserts-Blay,587,326,5,1,0,0,18,8,140,14,0,0,0,27,0,0,0,4,0,16,2,0,0,0,0,6,0,0,44,0,7,0,2,0,19,0,1,0,1,0
FR_39214,Esserval-Tartre,97,61,3,1,0,0,2,0,25,1,0,0,0,12,0,0,0,1,0,5,1,0,0,0,0,0,0,0,6,0,3,0,0,0,1,0,0,0,0,0
FR_21251,Essey,212,128,1,6,0,0,5,4,50,1,0,0,0,18,0,0,0,3,0,6,1,0,0,0,0,1,0,0,11,0,10,0,0,0,0,0,1,0,0,0
FR_54182,Essey-et-Maizerais,241,162,3,6,0,0,11,5,79,2,0,0,0,13,0,0,1,3,0,9,1,0,0,1,0,2,0,0,13,0,6,0,0,0,3,0,0,0,0,0
FR_54183,Essey-la-Côte,65,50,4,1,0,0,4,0,26,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,2,0,0,2,0,0,0,1,0,1,0,1,0,0,0
FR_54184,Essey-lès-Nancy,6193,3018,44,26,0,0,132,263,893,147,0,0,0,500,0,10,11,32,2,218,6,0,2,4,0,32,0,0,474,0,39,1,6,0,45,0,41,0,1,0
FR_02287,Essigny-le-Grand,970,532,6,10,0,0,19,13,251,15,0,0,0,82,1,0,2,4,0,39,5,0,0,0,0,3,0,0,44,0,10,0,0,0,13,0,3,0,0,0
FR_02288,Essigny-le-Petit,293,153,1,2,0,0,4,4,90,2,0,0,0,16,0,1,1,1,0,14,1,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,5,0,0,0
FR_02289,Essises,329,164,2,1,0,0,8,7,81,1,0,0,0,13,0,0,0,2,0,7,1,0,0,1,0,3,0,0,26,0,3,0,0,0,1,0,0,0,0,0
FR_14251,Esson,376,208,3,2,0,0,9,6,70,4,0,0,0,38,0,1,5,4,0,16,0,0,0,2,0,0,0,0,26,0,9,0,0,0,4,0,4,0,0,0
FR_17277,Essouvert,911,480,7,7,0,0,31,15,197,19,0,0,0,62,0,0,2,7,0,26,2,0,0,0,0,2,0,0,55,0,24,0,0,0,10,0,3,0,0,0
FR_10141,Essoyes,520,296,3,4,0,0,8,5,143,8,0,0,0,35,0,1,0,1,0,39,5,0,0,0,0,3,0,0,28,0,9,0,1,0,0,0,1,0,0,0
FR_60222,Essuiles,436,271,3,9,0,0,12,4,141,9,0,0,0,35,0,1,1,2,0,18,2,0,0,0,0,0,0,0,16,0,6,0,1,0,3,0,4,0,0,0
FR_35108,Essé,854,437,7,9,0,1,13,27,134,17,0,0,0,65,0,0,2,4,0,55,3,0,0,1,1,1,0,0,48,0,19,0,0,0,9,0,7,0,2,0
