gisco_id,name,registered,turnout,invalid,blank,PSD-PC,PDL,PNL,UDMR/RMDSZ,PRM,PDL,PNȚCD,Pavel,FC
RO_010827,Felnac,2368,1059,30,0,53,5,568,299,44,3,23,24,10
RO_010872,Ghioroc,3423,710,18,0,61,120,241,137,11,6,52,58,6
RO_010916,Graniceri,1998,478,18,0,115,3,219,67,9,1,24,15,7
RO_010943,Gurahont,3472,1515,49,0,368,11,529,387,24,6,85,43,13
RO_011058,Halmagiu,2785,573,20,0,58,2,184,124,49,4,56,69,7
RO_011174,Halmagel,1274,530,18,0,40,1,234,168,19,0,35,15,0
RO_011236,Hasmas,1072,660,19,0,61,3,338,151,13,0,45,28,2
RO_011307,Ignesti,627,277,10,0,28,8,67,112,6,1,32,11,2
RO_011352,Iratosu,2061,589,17,0,9,357,103,69,2,0,11,18,3
RO_011398,Macea,5504,1115,72,0,59,14,548,282,15,2,73,41,9
RO_011423,Misca,2691,1226,49,0,41,622,351,87,7,6,40,19,4
RO_011478,Moneasa,888,686,23,0,78,10,244,241,12,2,41,27,8
RO_011502,Olari,1605,526,14,0,28,122,203,113,4,0,28,12,2
RO_011539,Paulis,3405,854,41,0,174,31,327,145,16,5,69,29,17
RO_011584,Pecica,11282,3617,99,0,326,755,1504,674,22,8,111,92,26
RO_011637,Peregu Mare,1614,647,8,0,16,413,116,59,3,3,9,13,7
RO_011664,Petris,1233,466,19,0,34,1,200,117,8,1,53,30,3
RO_011735,Pilu,1541,507,12,0,79,9,286,74,4,0,27,10,6
RO_011762,Plescuta,1156,496,17,0,97,1,129,148,9,3,80,12,0
RO_011842,Savarsin,2517,1002,37,0,115,20,288,422,26,2,54,32,6
RO_011940,Secusigiu,4695,1293,46,0,45,102,741,145,70,4,70,59,11
RO_011995,Seleus,2454,887,24,0,232,0,403,80,12,1,49,83,3
RO_012037,Semlac,3249,778,40,0,115,5,302,196,14,2,50,48,6
RO_012055,Sintea Mare,2987,1086,39,0,28,317,397,206,9,5,42,32,11
RO_012091,Sântana,11982,2245,107,0,166,25,979,605,43,3,183,103,31
RO_012126,Socodor,1807,563,11,0,298,28,137,63,1,0,15,10,0
RO_012144,Sagu,3295,1167,41,0,59,8,761,178,35,4,40,29,12
RO_012206,Seitin,2394,676,16,0,22,3,251,227,69,4,43,34,7
RO_012224,Sepreus,2081,593,10,0,104,1,332,84,8,2,27,20,5
RO_012242,Sicula,3698,897,31,0,120,7,488,149,4,2,50,42,4
RO_012288,Silindia,687,445,10,0,13,28,302,42,4,0,15,29,2
RO_012340,Simand,3259,709,32,0,134,15,330,137,5,1,31,17,7
RO_012402,Sistarovat,263,225,2,0,11,0,22,169,7,0,4,5,5
RO_012457,Taut,1587,740,19,0,32,2,506,127,4,1,27,19,3
RO_012509,Tarnova,4799,2455,68,0,1239,40,497,391,34,4,125,49,8
RO_012572,Varadia De Mures,1521,625,11,0,74,3,197,242,18,2,50,21,7
RO_012643,Vinga,5234,1245,54,0,51,410,379,207,9,3,73,45,14
RO_012689,Varfurile,2526,1000,37,0,87,1,517,212,13,2,60,60,11
RO_012778,Zabrani,3732,1026,39,0,49,10,619,179,27,0,57,38,8
RO_012812,Zarand,2026,1871,12,0,41,13,995,275,60,7,77,391,0
RO_012849,Zerind,1188,481,25,0,4,266,142,26,6,0,5,5,2
RO_012876,Zimandu Nou,3938,1392,42,0,441,323,263,223,9,6,45,32,8
RO_012912,Dorobanţi,1407,755,18,0,7,667,27,26,1,2,2,5,0
RO_012920,Frumuşeni,2220,663,21,0,23,10,420,109,6,2,41,27,4
RO_012938,Zădăreni,2145,732,29,0,342,6,165,126,7,2,29,24,2
RO_013169,Piteşti,151924,25209,764,0,3448,40,6275,7074,729,109,5369,1166,235
RO_013187,Bascov,7899,1915,71,0,159,0,455,881,15,3,265,55,11
RO_013276,Bradu,5229,2538,74,0,115,2,1612,406,106,1,170,36,16
RO_013301,Mioveni,28734,5130,169,0,420,5,889,2136,93,12,1094,261,51
RO_013365,Maracineni,3720,1255,39,0,141,0,410,464,9,1,156,26,9
RO_013392,Ştefăneşti,11072,3016,113,0,274,1,852,1175,42,7,409,107,36
RO_013490,Câmpulung,33620,5780,187,0,1004,9,1320,1483,119,20,1180,400,58
RO_013524,Valea Mare Pravat,3279,1288,112,0,69,2,677,230,9,2,128,46,13
RO_013622,Curtea de Argeş,29602,5140,176,0,751,10,1112,1627,97,24,970,314,59
RO_013668,Costeşti,9178,2601,75,0,406,2,761,983,39,10,204,96,25
RO_013757,Topoloveni,8106,2056,79,0,148,2,484,892,27,6,323,75,20
RO_013819,Albestii De Arges,4910,1785,40,0,121,3,584,764,10,7,215,28,13
