gisco_id,name,registered,turnout,invalid,blank,PR,PUSL,USR-PMP-FD,S.O.S. România,ARS,SENS,REPER,AUR,PDU,UDMR/RMDSZ,AD,PRM,CNR,Pîrvănescu,Gheorghe
RO_008354,Valea Lungă,2492,1571,80,0,5,6,21,49,5,23,10,675,15,22,1,2,623,1,33
RO_008425,Vidra,1257,966,62,0,4,1,53,36,4,4,6,206,9,10,1,2,556,1,11
RO_008826,Vinţu de Jos,4481,2650,130,0,11,41,114,180,14,69,48,745,52,35,8,7,1136,11,49
RO_009019,Cut,1056,736,42,0,1,3,16,35,1,22,10,66,8,2,0,1,507,5,17
RO_009026,Bucerdea Grânoasă,1797,1251,81,0,11,4,28,36,1,20,9,470,10,189,0,8,374,8,2
RO_009262,Municipiul Arad,141672,56206,1760,0,324,1375,7440,3247,301,1846,2529,10283,1208,4759,1094,380,17609,310,1740
RO_009280,Fântânele,3151,1865,97,0,8,8,54,89,6,25,41,263,27,123,6,5,1072,8,33
RO_009333,Livada,3504,2016,77,0,8,37,229,124,8,66,57,478,38,105,16,13,712,6,42
RO_009360,Şofronea,2566,1600,49,0,10,15,59,75,3,23,34,388,28,473,9,5,395,5,29
RO_009397,Vladimirescu,12432,5460,243,0,32,85,377,388,25,140,175,1102,115,104,43,38,2381,22,190
RO_009459,Oraş Chişineu-Criş,6603,4485,267,0,13,36,157,181,11,83,954,539,58,526,9,29,1547,7,68
RO_009495,Oraş Curtici,7074,2683,172,0,12,18,219,225,8,47,55,562,35,62,18,10,1184,8,48
RO_009538,Oraş Ineu,7623,4372,199,0,18,116,101,293,17,89,79,766,73,147,13,15,2367,12,67
RO_009574,Oraş Lipova,8974,4693,207,0,20,53,212,292,17,79,71,943,76,63,10,13,2553,12,72
RO_009627,Oraş Nădlac,6399,3320,142,0,46,26,123,210,13,89,70,444,52,157,12,13,1854,19,50
RO_009654,Oraş Pâncota,6414,3228,199,0,9,35,103,175,8,52,62,610,49,96,11,7,1728,10,74
RO_009690,Oraş Sebiş,5125,2605,117,0,10,58,83,172,11,48,44,509,31,53,11,14,1376,13,54
RO_009743,Almaş,2005,1403,71,0,8,37,44,154,3,15,9,300,10,12,4,6,701,7,22
RO_009798,Apateu,2720,1914,110,0,12,45,39,83,2,15,26,313,12,12,0,3,1215,4,23
RO_009832,Archiş,1185,917,45,0,1,5,29,34,1,11,5,154,4,3,2,0,608,2,13
RO_009887,Bata,830,651,63,0,4,9,34,29,0,6,5,105,7,4,2,1,366,6,10
RO_009930,Beliu,2483,1768,112,0,11,26,45,92,4,28,11,324,14,11,2,4,1062,3,19
ROZZZA,AFRICA DE SUD,0,80,2,0,0,5,20,4,0,1,12,4,1,0,2,1,23,0,5
ROZZDZ,ALGERIA,0,12,3,0,0,0,0,1,0,0,1,1,0,1,0,0,3,1,1
ROZZAO,ANGOLA,0,23,2,0,1,0,5,0,2,0,0,6,1,1,0,0,5,0,0
ROZZAR,ARGENTINA,0,15,0,0,0,1,5,0,0,2,1,2,1,1,0,0,0,1,1
ROZZAM,ARMENIA,0,15,1,0,1,1,4,1,0,2,1,1,0,0,0,0,2,0,1
ROZZAU,Australia,0,254,6,0,3,3,60,19,1,7,47,64,13,0,2,1,20,0,8
ROZZAT,AUSTRIA,0,6646,195,0,11,35,829,1237,12,487,707,1844,359,95,33,11,388,20,382
ROZZAZ,AZERBAIDJAN,0,20,0,0,0,0,4,0,0,0,0,5,0,0,0,0,8,1,2
ROZZBE,BELGIA,0,9588,285,0,41,73,1110,1564,21,738,1574,1784,621,97,39,18,714,40,868
ROZZBA,BOSNIA ȘI HERȚEGOVINA,0,207,11,0,2,5,16,14,1,11,14,21,9,3,1,3,62,2,32
ROZZBR,BRAZILIA,0,67,0,0,0,3,1,0,0,1,4,0,1,2,0,0,54,0,1
ROZZBG,BULGARIA,0,117,3,0,0,0,30,2,1,11,20,8,1,7,1,1,15,0,17
ROZZCA,Canada,0,1473,12,0,4,20,348,204,2,38,154,432,62,26,17,4,108,3,39
ROZZCL,CHILE,0,39,0,0,0,0,9,1,2,2,5,4,2,1,0,0,12,0,1
ROZZCU,CUBA,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0
ROZZDK,DANEMARCA,0,2920,64,0,11,16,385,452,4,384,534,315,201,33,11,9,145,19,337
ROZZEG,EGIPT,0,37,0,0,0,1,3,3,1,0,8,4,4,3,0,0,10,0,0
ROZZCH,ELVEȚIA,0,2888,43,0,4,18,650,263,3,288,761,289,137,52,21,8,185,10,155
ROZZAE,United Arab Emirates,0,350,13,0,0,0,101,23,1,34,78,9,15,4,4,0,44,0,24
ROZZEE,ESTONIA,0,53,1,0,1,0,13,0,0,8,13,2,2,1,0,1,8,0,3
ROZZET,ETIOPIA,0,4,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0
ROZZRU,FEDERAȚIA RUSĂ,0,49,0,0,0,0,10,2,0,0,12,5,0,0,0,0,18,0,2
ROZZPH,FILIPINE,0,15,0,0,0,0,5,0,0,1,3,0,2,0,0,0,4,0,0
ROZZFI,FINLANDA,0,358,7,0,2,3,73,37,0,34,93,39,25,6,0,2,17,2,18
ROZZFR,FRANȚA,0,9438,227,0,22,60,1397,1440,27,630,1219,1531,826,57,47,40,1225,102,585
