gisco_id,name,registered,turnout,invalid,blank,Partij van de Arbeid (P.v.d.A.),VVD,SP (Socialistische Partij),Democraten 66 (D66),PVV (Partij voor de Vrijheid),Christen Democratisch Appèl (CDA),GROENLINKS,Partij voor de Dieren,ChristenUnie,50PLUS,Staatkundig Gereformeerde Partij (SGP),Partij voor Mens en Spirit (MenS),Piratenpartij,SOPN,Democratisch Politiek Keerpunt DPK,Partij van de Toekomst (PvdT),Libertarische Partij (LP),Nederland Lokaal,Liberaal Democratische Partij (LibDem),Anti Europa Partij,Politieke Partij NXD
NL_0228,Ede,81682,65026,100,62,10068,17603,3354,4003,4827,7190,1237,882,6258,974,8055,86,131,75,33,53,16,5,6,8,0
NL_0317,Eemnes,6569,5404,5,10,1004,2140,349,445,463,460,79,122,134,99,52,3,22,4,4,3,4,3,3,0,0
NL_1651,Eemsmond,12584,9796,16,12,3256,1560,1212,347,601,1134,195,188,920,135,135,21,25,8,8,7,9,3,2,2,0
NL_0770,Eersel,14337,10968,16,22,1859,3557,1349,861,915,1665,170,137,46,272,12,21,17,11,18,6,7,2,4,2,0
NL_1903,Eijsden-Margraten,19766,14993,33,41,3357,3884,1584,1147,1927,1952,339,242,57,295,14,47,31,14,10,6,3,4,4,2,0
NL_0772,Eindhoven,160708,111180,275,282,29058,24988,15533,11782,10933,6539,3183,2141,1336,3447,178,237,610,185,100,151,67,92,44,19,0
NL_0230,Elburg,16904,13547,31,14,1566,3087,806,404,941,1824,128,118,2222,163,2179,17,9,12,5,7,3,9,3,3,0
NL_0114,Emmen,84851,61090,113,59,22983,10758,6673,2646,6878,5833,742,822,1716,979,252,125,186,130,38,67,44,14,8,24,0
NL_0388,Enkhuizen,14057,10702,21,15,2854,2881,1055,767,1107,690,215,262,240,329,148,21,40,25,3,15,2,5,2,6,0
NL_0153,Enschede,118768,82328,210,188,25421,16035,9560,7172,8473,6460,1759,1450,3011,1302,323,144,459,150,57,64,41,15,14,20,0
