gisco_id,name,registered,turnout,invalid,blank,VB (1979),N-VA,Vooruit,CD&V,Open VLD,PTB/PVDA,Groen,Voor U,Volt,PS,MR,LE,Ecolo,GA/SAP,DéFI,CSP,VIVANT,ProDG
BE_31006,Damme,0,8394,442,0,2073,1852,827,1529,664,272,574,105,56,0,0,0,0,0,0,0,0,0
BE_84016,Daverdisse,0,1023,103,0,0,0,0,0,0,95,0,0,0,118,379,221,63,27,17,0,0,0
BE_35029,De Haan,0,9788,531,0,2170,2445,1249,952,1119,392,723,150,57,0,0,0,0,0,0,0,0,0
BE_38008,De Panne / La Panne,0,7705,492,0,1790,1515,1078,776,1007,445,463,84,55,0,0,0,0,0,0,0,0,0
BE_44012,De Pinte,0,8350,250,0,801,1860,937,1643,1098,239,1357,81,84,0,0,0,0,0,0,0,0,0
BE_34009,Deerlijk,0,9536,495,0,2451,1906,1133,1724,684,386,594,114,49,0,0,0,0,0,0,0,0,0
BE_44083,Deinze,0,32982,1232,0,6196,6976,4135,5274,3889,1312,3507,274,187,0,0,0,0,0,0,0,0,0
BE_41011,Denderleeuw,0,14343,907,0,4177,2349,2228,1831,797,982,842,147,83,0,0,0,0,0,0,0,0,0
BE_42006,Dendermonde / Termonde,0,34231,1346,0,9374,7149,4480,4131,2494,2265,2596,199,197,0,0,0,0,0,0,0,0,0
BE_37002,Dentergem,0,6490,294,0,1832,1529,677,1026,439,219,388,66,20,0,0,0,0,0,0,0,0,0
BE_13006,Dessel,0,6916,269,0,1720,2455,673,830,257,313,309,61,29,0,0,0,0,0,0,0,0,0
BE_44013,Destelbergen,0,14128,457,0,2064,3167,1687,1559,2108,804,2030,127,125,0,0,0,0,0,0,0,0,0
BE_71011,Diepenbeek,0,14504,607,0,3813,3238,1705,1945,1045,859,1073,106,113,0,0,0,0,0,0,0,0,0
BE_24020,Diest,0,18088,968,0,3568,3574,2478,2153,1760,1332,1821,270,164,0,0,0,0,0,0,0,0,0
BE_23016,Dilbeek,0,28577,1544,0,3839,5681,2559,3185,5038,3253,2788,359,331,0,0,0,0,0,0,0,0,0
BE_72041,Dilsen-Stokkem,0,14399,738,0,4048,2220,1637,1846,1870,1278,597,96,69,0,0,0,0,0,0,0,0,0
BE_91034,Dinant,0,8967,899,0,0,0,0,0,0,1017,0,0,0,1246,3712,1155,621,164,153,0,0,0
BE_63020,Dison,0,8379,1073,0,0,0,0,0,0,1596,0,0,0,2099,2020,787,468,158,178,0,0,0
BE_32003,Diksmuide / Dixmude,0,12660,747,0,3527,2155,1536,2277,976,518,714,165,45,0,0,0,0,0,0,0,0,0
BE_93018,Doische,0,2185,230,0,0,0,0,0,0,303,0,0,0,345,830,279,106,45,47,0,0,0
BE_64023,Donceel,0,2347,133,0,0,0,0,0,0,183,0,0,0,350,1071,363,152,38,57,0,0,0
BE_53020,Dour,0,10745,1416,0,0,0,0,0,0,1484,0,0,0,2967,2484,1620,420,199,155,0,0,0
BE_23098,Drogenbos,0,2978,457,0,135,107,52,72,51,433,79,18,13,299,693,190,185,28,166,0,0,0
BE_12009,Duffel,0,12873,543,0,2715,3551,1223,1631,837,756,1376,130,111,0,0,0,0,0,0,0,0,0
BE_83012,Durbuy,0,7961,656,0,0,0,0,0,0,650,0,0,0,1026,3104,1552,633,210,130,0,0,0
BE_55050,Écaussinnes,0,7878,649,0,0,0,0,0,0,965,0,0,0,1585,2408,1164,761,151,195,0,0,0
BE_11013,Edegem,0,15888,452,0,2068,5047,1516,1635,1608,1103,2140,142,177,0,0,0,0,0,0,0,0,0
BE_43005,Eeklo,0,15365,972,0,4010,2696,2113,1908,1109,1123,1155,197,82,0,0,0,0,0,0,0,0,0
BE_92035,Éghezée,0,12007,909,0,0,0,0,0,0,922,0,0,0,1468,5092,2173,1014,164,265,0,0,0
BE_51017,Ellezelles / Elzele,0,4339,438,0,0,0,0,0,0,375,0,0,0,618,1514,868,372,87,67,0,0,0
BE_51067,Enghien / Edingen,0,9738,769,0,0,0,0,0,0,1035,0,0,0,1447,3372,1557,995,178,385,0,0,0
BE_61080,Engis,0,4122,451,0,0,0,0,0,0,705,0,0,0,959,1050,512,215,117,113,0,0,0
BE_83013,Érezée,0,2514,220,0,0,0,0,0,0,256,0,0,0,281,956,483,223,45,50,0,0,0
BE_41082,Erpe-Mere,0,15280,753,0,4390,3454,1600,1877,1420,661,927,144,54,0,0,0,0,0,0,0,0,0
